GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00998" ,"United States", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",120733.4,122609.3,128327.1,134767.5,134399.3,137668.7,140821.6,146446.8,153626.1,155640.5,156986.1,158373.1,155070.5,158499.9,156726.8,157230.6,157674.6
 "11260" ,"Anchorage, AK", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",83.4,83.9,91.9,93.6,92.7,94.1,90.0,89.1,87.3,86.7,83.6,83.8,84.8,82.7,78.6,77.8,75.8
 "21820" ,"Fairbanks, AK", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",14.8,22.0,13.2,11.8,9.7,11.7,12.4,13.5,13.7,13.9,13.4,13.5,,,9.8,9.7,9.7
 "11500" ,"Anniston-Oxford-Jacksonville, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",22.4,23.0,24.7,26.6,22.1,20.0,17.4,15.7,15.8,14.2,13.7,12.7,12.0,12.5,12.1,11.9,10.8
 "12220" ,"Auburn-Opelika, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",12.5,12.9,13.4,14.1,14.3,14.9,15.0,14.5,14.0,14.1,14.4,15.2,14.7,15.6,20.3,26.3,28.3
 "13820" ,"Birmingham-Hoover, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",,,,,,,,,,,,,273.8,269.3,262.6,269.1,258.7
 "19300" ,"Daphne-Fairhope-Foley, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",15.7,14.8,16.7,19.2,19.7,22.0,26.6,28.7,34.8,41.5,44.2,46.6,47.8,51.7,51.4,48.6,49.4
 "19460" ,"Decatur, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",,,2.2,,,,,2.4,2.8,,,,,,,,
 "20020" ,"Dothan, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",,,,,,,,,,,,,,,,,
 "22520" ,"Florence-Muscle Shoals, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",13.2,13.1,12.8,12.9,12.4,13.0,13.1,13.6,13.8,13.3,12.8,12.1,12.4,12.6,12.7,12.5,11.5
 "23460" ,"Gadsden, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",6.4,6.9,8.2,7.3,8.6,8.6,9.8,9.3,9.3,,,5.4,5.0,5.0,4.6,4.6,
 "26620" ,"Huntsville, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",56.3,,,,,64.3,70.8,67.9,68.9,74.1,76.2,89.8,98.6,117.2,108.6,109.4,104.1
 "33660" ,"Mobile, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",92.6,93.5,95.0,103.6,106.3,108.8,109.8,102.1,107.4,115.1,116.1,108.9,101.7,103.8,103.3,99.3,94.1
 "33860" ,"Montgomery, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",,,,,,,,,150.2,,,135.0,130.5,126.1,120.2,,
 "46220" ,"Tuscaloosa, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",,,,,,,,,,,,,33.0,33.3,31.0,,
 "26300" ,"Hot Springs, AR", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",69,"61","   Educational services",2.3,2.5,2.3,2.3,2.2,2.8,4.9,5.3,5.7,6.0,6.2,6.5,6.5,6.0,5.0,4.3,2.9
