GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00998" ,"United States", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",824146.3,825103.2,831204.7,829233.8,904849.5,946258.8,920361.5,795892.7,922917.7,922262.0,932270.5,983199.2,938650.3,986269.8,1024454.4,1003832.0,1015027.3
 "11260" ,"Anchorage, AK", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",666.4,721.9,860.8,724.1,913.0,795.9,753.9,741.7,823.7,759.8,734.9,753.2,751.9,793.8,741.6,641.8,621.4
 "21820" ,"Fairbanks, AK", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",69.0,73.3,79.4,67.3,84.3,82.9,85.1,78.9,93.0,77.4,85.6,84.1,88.0,,75.7,66.1,60.2
 "11500" ,"Anniston-Oxford-Jacksonville, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",89.1,96.2,96.3,105.5,101.2,88.3,75.6,67.6,70.8,72.9,67.5,86.2,86.6,89.4,85.9,74.7,72.2
 "12220" ,"Auburn-Opelika, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",80.0,90.0,91.3,92.8,95.7,90.5,95.2,86.2,92.3,95.8,85.4,105.5,105.8,114.8,115.3,104.7,108.3
 "13820" ,"Birmingham-Hoover, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",,4087.7,4463.0,4522.2,4673.1,4340.9,4371.8,3908.5,3998.1,4055.8,3721.4,4729.5,4599.3,5045.4,5053.6,4473.7,4509.5
 "19300" ,"Daphne-Fairhope-Foley, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",116.7,136.8,153.3,161.8,176.0,171.3,183.6,145.6,152.3,153.6,142.3,180.8,167.4,168.8,175.2,171.0,174.4
 "19460" ,"Decatur, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",154.2,178.7,184.4,182.2,182.7,162.6,142.4,115.9,121.1,126.4,115.2,141.8,144.6,142.6,135.1,119.6,114.9
 "20020" ,"Dothan, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",133.9,154.1,150.4,158.0,160.5,147.7,133.9,116.4,119.2,122.1,112.3,144.8,135.6,137.0,136.6,121.3,116.3
 "22520" ,"Florence-Muscle Shoals, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",140.6,158.2,156.4,157.6,153.5,135.8,130.0,116.7,123.8,134.0,122.7,277.5,152.7,164.2,159.4,141.5,141.3
 "23460" ,"Gadsden, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",89.3,102.7,102.0,101.1,99.8,91.0,82.6,69.8,77.9,82.2,74.9,89.5,88.8,94.3,92.7,84.5,81.1
 "26620" ,"Huntsville, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",356.5,418.7,450.9,447.9,442.8,412.2,412.8,354.0,382.6,369.0,351.2,437.8,428.0,438.0,420.3,396.5,400.1
 "33660" ,"Mobile, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",625.2,669.5,691.9,669.9,827.0,1034.0,741.9,627.7,775.8,627.1,968.6,812.7,707.4,678.6,695.8,800.1,823.9
 "33860" ,"Montgomery, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",806.9,931.6,956.1,960.2,927.8,882.4,858.3,793.3,696.3,684.8,624.4,595.0,,,,,
 "46220" ,"Tuscaloosa, AL", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",191.6,218.0,226.9,225.8,228.8,215.7,201.9,175.4,182.7,189.1,168.8,,,220.0,,,
 "26300" ,"Hot Springs, AR", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",87.5,86.1,89.5,90.4,91.5,88.8,92.7,90.2,97.1,104.2,125.8,122.1,112.8,123.7,115.0,114.3,110.6
