GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3458.3,3349.2,3470.7,3707.7,3797.8,3796.7,3947.1,3973.4,3766.0,3846.9,3732.2,3634.1,3454.6,3407.8,3346.4,3377.1,3419.2
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2597.1,2398.8,2480.8,2674.7,2680.3,2644.8,2741.4,2798.9,2554.3,2696.8,2619.5,2621.1,2536.5,2481.5,2422.4,2461.9,2513.1
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",11.6,7.7,9.9,11.6,20.0,11.5,9.1,10.0,21.5,23.2,8.3,13.9,22.9,24.0,28.4,25.2,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.2,0.2,0.2,0.0,(L),(L),(L),0.0,0.0,0.6,0.3,0.3,0.6,0.6,0.6,0.3,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),0.0,0.1,(L),0.0,(L),0.0,0.0,(L),0.1,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",102.7,101.0,92.5,96.4,94.7,100.5,99.9,94.2,91.0,100.6,98.8,91.9,87.7,84.3,81.9,86.6,85.8
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",142.6,124.1,120.9,131.0,121.8,121.7,119.6,109.0,107.0,92.6,83.7,74.6,73.0,67.4,65.0,66.1,68.9
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",530.5,533.4,538.9,634.3,612.8,591.9,620.9,699.0,555.6,607.4,577.0,608.7,669.4,625.1,619.5,654.7,698.1
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",389.1,392.2,407.2,480.8,485.5,464.8,501.4,596.9,458.3,508.4,488.2,520.5,572.2,518.2,514.3,540.9,576.6
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",12.2,12.5,12.8,13.6,14.8,16.5,15.8,16.2,20.2,23.2,25.4,19.4,18.0,15.4,15.9,17.3,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",9.3,11.5,12.3,12.9,13.9,20.9,21.1,16.1,12.5,13.6,13.3,11.4,12.9,13.5,12.6,11.9,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",61.2,73.4,60.2,80.5,66.8,68.1,62.5,87.2,75.9,74.7,77.5,100.0,109.9,107.4,119.2,139.5,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",183.8,165.2,172.2,168.5,164.2,147.8,148.1,153.6,107.5,100.9,102.8,112.8,113.4,109.7,104.9,116.0,(NA)
