GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2418.2,2415.2,2493.6,2545.2,2669.4,2749.3,2781.1,2768.6,2673.6,2799.0,2937.5,2905.0,2689.5,2688.3,2723.5,2736.7,2789.5
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2134.5,2120.5,2191.8,2245.5,2356.9,2432.8,2471.4,2458.7,2366.1,2487.0,2624.8,2593.8,2386.2,2394.3,2436.2,2450.7,2506.2
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",11.6,9.9,11.0,12.4,14.5,17.2,15.0,12.0,10.5,9.3,6.5,7.9,9.1,9.7,8.9,9.6,9.0
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",3.3,2.1,2.2,3.5,4.6,6.8,7.4,6.1,5.4,3.4,1.2,2.1,3.8,5.0,4.6,4.8,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",9.0,8.4,9.4,9.3,10.2,10.8,7.8,5.9,5.1,5.9,5.7,6.0,4.8,3.9,3.5,4.0,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",34.0,26.9,25.9,23.4,25.1,30.6,44.2,41.4,41.5,35.5,43.2,44.1,55.0,70.8,53.5,45.8,23.4
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",38.0,29.9,28.4,24.7,25.8,(D),(D),35.1,35.7,27.6,32.8,30.3,40.2,48.7,44.5,31.9,(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26300" ,"Hot Springs, AR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),43.7,35.8,35.5,37.6,38.7,35.5,44.4,45.7,41.9,39.7,39.4,35.2,38.1,38.9
