GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",31104.2,30780.0,32537.1,32142.7,33281.4,34361.9,35971.5,36310.2,34035.7,34231.1,33854.7,34979.3,33904.5,33431.3,32791.5,32878.6,33841.4
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",24931.6,24595.9,26275.6,25842.9,26786.4,27749.0,29358.9,29320.0,27362.4,27340.9,26857.6,27766.0,26777.5,26488.4,25946.0,26126.7,27060.2
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",24.9,(D),(D),(D),61.0,57.5,28.0,28.1,34.3,39.4,41.9,37.7,44.2,49.2,36.6,54.6,(D)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",16.8,29.7,36.3,39.9,50.6,51.6,22.5,22.4,25.4,28.8,32.8,29.3,36.4,41.4,30.5,48.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",7.6,(D),(D),(D),9.1,4.4,5.3,5.4,8.9,10.6,8.5,8.1,6.4,5.9,4.8,4.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",704.4,(D),(D),(D),915.4,1144.4,1101.8,1035.9,1056.0,1388.2,1629.2,1665.3,1486.8,1422.7,1032.3,627.1,685.6
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.3,1.2,2.8,7.5,23.1,20.7,10.1,5.2,2.1,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",696.4,(D),(D),(D),909.2,1140.5,1099.4,1026.6,1048.9,(D),1574.0,1593.1,1423.1,1386.4,1013.8,619.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",7.1,4.7,6.6,6.2,6.4,5.2,4.1,9.2,5.9,(D),51.4,49.3,43.2,28.9,15.8,6.6,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",633.9,608.0,662.9,819.0,753.5,794.6,808.8,792.7,796.0,875.3,900.2,897.6,781.5,890.3,694.4,739.4,772.9
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1942.5,1891.2,1976.5,2086.0,2096.1,2168.2,2087.2,1830.5,1796.6,1322.9,1241.6,1151.4,1226.0,1211.5,1145.3,1165.6,1215.5
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",4203.8,3413.7,4127.3,3590.2,3560.2,3553.5,4591.6,4262.3,3331.8,3622.6,3255.9,3842.6,3337.1,3454.9,3338.1,3778.2,3915.7
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",3926.9,(D),(D),(D),3351.8,3298.5,4244.9,3887.8,2956.7,3282.9,2950.3,3548.5,3106.7,3208.6,3093.2,3540.6,3666.1
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",20.0,19.4,24.6,26.6,34.6,36.5,38.0,35.4,30.3,19.9,19.0,19.2,20.2,15.4,10.6,10.5,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",92.9,82.8,102.9,115.7,123.6,142.4,179.7,131.4,76.1,83.3,68.2,50.3,72.0,75.8,71.8,75.5,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",16.1,14.4,8.5,8.6,4.8,7.6,22.4,14.2,12.7,8.6,19.2,15.9,15.7,11.2,(D),(D),(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",237.7,256.8,246.3,286.5,268.4,259.5,257.1,250.3,191.3,196.1,217.4,232.1,228.1,220.0,216.7,207.6,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",84.2,102.9,126.3,130.4,168.8,177.1,186.2,140.4,133.4,167.7,128.2,86.6,121.9,87.9,94.2,96.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",450.7,656.3,899.8,798.6,462.3,426.4,586.8,557.4,307.0,(D),(D),(D),561.4,564.8,533.0,608.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",44.4,75.3,77.4,62.0,71.5,89.5,93.7,105.1,95.4,95.6,80.7,80.6,65.5,78.6,89.6,86.0,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),18.7,18.7,16.7,(D),(D),(D),(D),(D),6.6,19.7,27.6,14.4,14.8,(D),27.7,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1823.6,1963.6,1890.7,2274.1,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",35.8,21.5,24.8,24.8,27.4,30.3,28.2,26.5,19.9,18.5,18.7,20.7,33.7,41.2,41.7,(D),(NA)
