GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3863.6,3879.7,3988.2,4248.8,4003.5,4003.4,4072.2,4141.3,4099.5,4115.1,4126.6,4231.2,4133.7,4225.5,4292.7,4408.6,4534.2
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3031.9,3007.3,3118.4,3389.1,3140.7,3166.5,3265.9,3304.6,3284.6,3311.2,3340.2,3457.8,3383.4,3477.3,3529.9,3627.9,3745.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),3.2,19.3,16.3,12.2,(D),(D),(D),(D),(D),(D),9.1,9.9,11.4,(D),(D)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",8.5,0.0,1.1,15.8,12.9,8.8,14.6,3.0,3.2,10.5,17.5,5.8,6.8,7.6,9.3,5.3,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),2.3,2.5,2.6,2.8,(D),(D),(D),(D),(D),(D),2.7,2.5,2.4,(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),42.3,19.2,26.3,28.1,(D),(D),(D),(D),(D),(D),7.0,11.5,12.7,(D),(D)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.6,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),20.3,18.2,28.2,30.3,23.8,15.0,12.8,9.8,4.3,(D),5.1,(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.3,0.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,(L),(L),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",129.9,130.3,115.5,108.0,103.8,100.6,124.8,130.9,145.0,166.3,175.4,192.4,178.1,164.9,153.7,169.7,169.6
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",328.3,305.4,299.6,297.8,273.3,259.6,293.8,280.9,272.2,277.9,291.2,273.6,258.3,259.6,284.3,282.8,274.4
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",390.3,367.7,431.3,649.4,387.3,382.8,412.3,470.1,470.5,396.1,396.1,470.9,479.2,474.8,463.6,430.2,468.9
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",321.0,304.2,366.2,586.1,328.7,320.7,346.7,409.0,401.1,332.4,322.8,398.6,415.3,420.4,407.2,372.7,410.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",3.3,4.0,2.4,2.4,3.1,3.2,3.4,2.5,2.8,2.7,2.7,(D),2.2,2.5,2.5,2.6,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",35.6,28.4,29.9,40.1,39.8,37.5,48.2,46.9,38.3,34.2,32.4,(D),51.7,55.9,56.8,49.8,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",97.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",28.3,22.1,20.3,19.9,22.3,25.3,31.9,29.4,27.9,55.3,76.6,(D),68.8,92.0,93.3,93.3,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",90.8,102.0,94.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),0.8,1.6,2.2,3.6,5.8,8.6,11.7,8.3,(D),18.6,12.8,14.1,13.3,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),3.5,3.5,(D),5.7,(D),(D),(D),6.4,(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.1,(L),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.2,17.9,(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",3.0,3.5,2.5,2.0,2.3,2.6,2.7,1.7,1.7,1.4,0.8,(D),1.4,1.9,2.0,2.6,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",4.3,4.2,6.2,4.3,4.2,3.9,6.0,7.1,5.0,3.5,5.2,(D),2.6,3.9,3.9,3.9,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",69.0,63.1,64.5,59.2,60.7,65.4,68.8,60.1,69.4,64.0,74.3,72.8,64.7,55.6,57.4,57.6,59.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.5,(D),(D),(D),30.5,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",1.4,1.5,0.7,0.8,0.6,0.3,0.0,0.5,0.4,0.5,(D),(D),(D),(D),1.1,0.9,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),0.4,0.2,0.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(L),(L),(L),(L),(L),0.1,0.2,(L),(L),0.0,(L),0.0,(L),(L),(L),0.0,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",2.8,3.3,3.4,4.4,4.7,4.3,4.6,4.6,3.7,4.7,4.5,(D),3.4,2.7,2.7,2.8,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,(L),(L),(L),0.2,(L),0.3,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.7,15.9,(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",9.8,8.1,12.8,11.8,12.1,11.2,9.6,8.8,9.4,(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",105.8,111.6,118.9,128.8,135.4,136.8,134.5,135.0,116.4,117.0,120.5,126.2,125.0,139.1,141.3,136.8,144.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",354.7,370.4,379.9,369.3,377.4,366.6,372.5,363.0,361.2,361.4,361.0,371.9,379.6,404.2,418.5,463.2,466.9
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",212.6,192.1,200.3,211.8,216.0,214.8,212.4,222.3,205.3,211.8,210.0,250.7,194.8,197.2,192.3,196.8,206.6
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",112.8,103.1,111.4,112.5,121.1,122.6,130.6,138.9,125.3,125.3,119.3,132.8,111.6,114.0,113.2,108.6,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(L),(L),(L),(L),(L),0.0,(L),0.1,0.1,0.0,0.1,0.1,0.2,(L),(L),0.1,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",22.1,22.5,22.8,25.8,25.3,25.4,22.1,22.8,20.4,23.2,25.1,(D),16.9,17.9,15.4,17.9,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",12.0,12.1,11.1,10.7,7.8,6.7,6.2,7.3,6.2,6.7,7.0,(D),4.8,5.0,7.9,7.9,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",0.9,0.4,0.8,1.2,1.3,1.1,1.5,0.5,1.6,3.2,5.4,20.1,10.6,10.3,5.9,9.3,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),16.4,16.1,16.8,17.2,17.2,12.1,14.0,14.6,17.1,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",(D),40.0,37.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",58.6,60.5,66.1,93.7,107.9,103.1,(D),(D),137.5,131.5,124.0,130.5,114.7,110.5,93.5,110.7,115.2
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.5,(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),4.6,4.3,6.6,(D),6.0,6.2,5.8,(D),5.1,4.7,(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",39.9,37.0,40.5,57.7,68.9,69.4,80.0,89.4,98.5,(D),85.4,(D),83.1,81.9,66.3,84.2,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),5.8,(D),(D),(D),(D),(D),3.4,3.3,(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",414.9,412.3,401.9,366.8,363.5,351.0,352.1,326.8,351.2,362.9,343.0,326.1,349.7,373.2,381.5,395.8,399.6
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",163.0,148.1,129.7,107.3,109.2,107.4,109.9,102.1,115.8,115.8,116.5,93.2,90.7,87.1,96.0,87.1,89.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",73.0,70.6,62.3,48.6,50.5,50.4,47.9,50.7,61.7,53.4,57.7,(D),47.7,45.4,42.3,38.6,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",54,"524","    Insurance carriers and related activities",76.9,64.6,62.2,49.0,48.3,46.7,51.5,38.5,41.2,40.3,37.2,(D),34.3,32.8,38.8,40.4,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",55,"525","    Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",56,"53","   Real estate and rental and leasing",246.4,261.1,271.9,261.1,255.4,244.3,242.7,225.0,235.5,247.2,226.2,233.9,261.0,289.4,287.8,313.7,315.2
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",57,"531","    Real estate",212.6,226.1,230.6,209.0,197.6,187.4,181.7,188.3,181.6,175.5,166.6,(D),193.8,231.4,232.4,264.5,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",32.9,34.1,40.6,52.0,58.1,57.2,61.4,36.6,53.8,71.7,59.6,(D),67.4,57.6,54.8,47.0,(NA)
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",59,"54, 55, 56","  Professional and business services",222.1,218.3,236.3,253.4,308.5,396.2,364.4,337.3,293.5,322.5,359.6,359.2,348.0,385.5,390.4,401.8,419.3
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",60,"54","   Professional, scientific, and technical services",83.9,91.1,90.3,95.6,96.5,108.5,94.6,97.6,97.8,97.4,102.6,111.8,131.8,177.0,190.1,210.6,226.5
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",64,"55","   Management of companies and enterprises",16.6,15.1,13.4,12.9,12.4,13.0,11.3,10.0,11.4,13.7,14.5,14.1,15.4,15.5,16.2,16.2,16.4
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",65,"56","   Administrative and support and waste management and remediation services",124.3,115.0,134.4,146.4,200.1,274.8,258.3,229.7,184.3,211.6,242.7,233.3,200.2,191.4,182.4,173.2,174.6
 "39380" ,"Pueblo, CO (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",66,"561","    Administrative and support services",94.0,86.2,108.7,119.8,153.5,224.6,224.6,202.3,146.2,148.5,159.9,(D),179.3,177.8,173.2,164.6,(NA)
