GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8485.1,8674.6,8725.1,9608.2,9761.8,10120.1,10697.5,10682.8,10473.5,10531.9,10288.1,10428.2,10978.3,10621.4,10686.6,10854.1,11111.7
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5500.1,5690.4,5903.6,6220.3,6576.3,6871.0,7233.5,7330.5,7045.1,7083.7,6902.5,6931.1,7498.1,7116.5,7285.4,7398.5,7638.3
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",59.6,37.2,35.3,40.0,44.3,37.3,21.8,31.1,35.4,62.2,56.4,68.9,59.2,88.4,98.3,111.6,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),(L),(L),(L),0.0,0.7,0.2,0.1,(L),0.1,0.1,(L),(L),0.1,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),0.0,0.0,0.4,0.0,(L),(L),(L),0.0,(D),(L),(L),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),174.6,(D),195.8,214.3,(D),(D),198.3,196.4,188.5,174.5,197.5,195.4
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",471.7,518.6,523.8,540.2,537.5,505.5,512.1,469.1,425.4,322.1,254.7,325.1,298.6,286.8,299.8,306.3,337.1
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",286.4,313.9,311.4,335.3,390.2,484.2,525.5,480.5,402.5,439.7,436.0,447.9,500.4,450.5,481.3,465.2,449.2
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",232.6,255.6,254.0,271.9,324.3,(D),442.4,(D),(D),(D),(D),(D),390.4,(D),(D),(D),(D)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",13.1,12.2,(D),(D),(D),(D),(D),(D),(D),11.3,(D),(D),14.6,14.1,(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.0,0.0,0.0,(L),0.5,(D),(D),(D),(D),(D),0.0,(D),4.0,(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",43.6,32.8,(D),(D),45.8,52.3,49.7,45.7,37.3,35.2,34.9,(D),22.3,10.3,9.3,33.3,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",23.3,33.6,27.8,30.6,40.0,42.6,48.9,46.8,28.3,19.6,25.1,(D),31.4,(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),29.6,31.3,24.9,33.5,34.3,(D),37.9,54.0,54.7,57.4,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),14.2,13.8,10.9,(D),11.0,8.5,8.8,6.2,5.4,15.7,(D),2.6,(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),3.3,(D),2.0,0.0,0.0,(D),(D),(D),0.9,(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),32.8,(D),28.4,16.0,(D),(D),(D),(D),(D),(D),7.3,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),10.2,8.0,8.5,(D),10.6,10.1,13.1,10.9,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",49.2,(D),(D),57.1,66.4,90.1,94.0,104.0,98.4,154.6,139.7,(D),178.5,168.9,163.8,153.6,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",53.7,58.0,57.1,63.4,64.9,(D),81.1,(D),(D),(D),(D),(D),110.5,(D),(D),(D),(D)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),19.0,(D),(D),(D),(D),27.3,(D),(D),16.0,(D),(D),18.6,37.3,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),1.1,0.9,(D),1.1,1.0,1.1,1.8,0.9,1.0,0.8,(L),(D),0.1,0.1,(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",1.3,(D),0.3,(D),0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.2,(D),0.3,0.4,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",8.6,10.4,9.7,11.5,12.1,12.7,17.5,16.5,13.6,12.7,13.1,(D),16.7,17.6,17.3,16.2,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",1.5,0.8,1.0,0.2,0.1,(L),(L),(L),0.2,0.0,0.2,0.7,0.3,0.2,(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",13.0,16.5,15.1,7.2,8.7,8.6,11.3,38.9,(D),(D),(D),(D),62.1,41.0,56.4,48.9,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",14.0,(D),16.1,13.9,12.4,(D),(D),10.0,(D),(D),7.4,(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",254.5,283.0,347.4,383.9,397.6,363.3,348.9,346.4,298.5,303.0,293.4,295.4,349.3,385.6,425.1,416.3,427.6
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",588.5,595.6,634.4,662.5,725.3,738.1,787.3,692.3,648.8,652.3,657.3,637.5,634.8,642.7,660.3,705.9,741.1
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),99.2,(D),135.7,128.3,(D),(D),136.3,139.6,148.5,157.5,174.6,176.4
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",2.3,3.6,3.7,2.6,(D),(D),5.1,(D),(D),3.6,(D),0.1,(D),0.2,(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",0.0,0.0,(D),(D),(L),(L),0.0,(L),(L),(L),(L),(L),0.0,0.0,0.1,0.1,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",0.5,0.0,0.2,0.1,0.4,0.8,1.1,0.1,0.0,0.2,0.0,0.2,(L),0.5,0.1,(L),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",12.3,14.1,15.3,(D),21.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",6.8,6.5,8.0,4.9,(D),6.2,6.4,5.8,4.8,(D),5.3,(D),3.7,4.5,5.6,5.0,(NA)
 "23540" ,"Gainesville, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(L),0.1,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(NA)
