GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8764.8,9552.5,10078.1,11291.4,12410.5,12803.1,12861.8,12105.7,11388.9,11147.5,10910.4,11039.0,10921.5,11018.1,11522.8,11745.0,12113.8
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",7562.2,8332.4,8802.2,9952.0,11103.6,11436.2,11320.3,10555.4,9854.0,9631.5,9445.8,9571.0,9505.8,9617.6,10152.9,10332.7,10691.0
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",103.9,112.8,91.2,95.5,164.9,167.6,97.8,93.9,107.5,114.0,103.4,93.4,82.2,83.6,122.9,88.4,(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),15.5,(D),(D),(D),(D),(D),(D),(D)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.2,(D),(D),0.3,(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),13.1,19.1,24.7,19.4,(D),(D),(D),(D),(D),13.9,(D),(D),(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",812.2,847.9,994.7,1102.9,1264.5,1224.1,1045.8,880.5,722.9,612.4,511.8,610.9,543.0,600.1,636.1,694.4,711.9
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",360.0,385.8,415.8,483.4,518.4,571.3,633.0,559.1,496.5,473.6,490.4,505.3,556.9,579.4,642.6,618.9,631.4
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",233.3,(D),(D),303.6,352.2,377.7,437.5,391.7,343.3,318.4,314.0,316.1,353.3,386.4,394.5,403.7,415.5
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",11.8,13.4,13.3,13.3,20.5,20.9,21.1,17.1,8.4,11.9,16.4,12.9,17.2,16.4,18.3,25.0,(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",30.2,37.1,42.7,55.8,76.7,98.8,94.1,39.5,30.2,22.3,19.4,24.6,26.2,31.2,31.0,28.9,(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.8,(D),(D),(D),(D),(D),(NA)
 "38940" ,"Port St. Lucie, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",40.0,31.9,40.2,39.9,47.3,38.7,36.1,34.9,33.7,(D),29.0,31.0,34.1,40.5,46.8,53.1,(NA)
