GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5943.3,5938.0,6279.9,6453.6,6853.1,6805.2,6886.7,6773.1,6459.8,6391.7,6847.0,6785.8,6711.6,7119.6,7620.4,7880.0,8253.1
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5334.9,5305.5,5612.3,5790.1,6172.4,6120.8,6186.1,6101.6,5786.8,5719.1,6187.3,6130.5,6069.6,6488.1,6952.3,7202.2,7564.1
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),43.4,(D),(D),(D),29.0,19.5,24.7,22.1,11.5,2.9,22.3,(D),(D),(D),(D),(D)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",62.5,40.3,39.1,55.8,53.8,24.4,15.8,21.4,18.6,7.9,0.0,16.0,17.9,26.5,27.5,17.5,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),3.4,(D),(D),(D),4.8,4.1,3.3,3.5,3.7,3.5,3.3,(D),(D),(D),(D),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),19.6,(D),(D),(D),13.2,13.1,10.3,9.3,8.0,6.6,5.6,(D),(D),(D),(D),(D)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.0,0.0,0.0,0.0,0.0,(L),(L),(L),0.0,0.0,0.0,0.0,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),19.6,(D),(D),(D),13.2,13.1,10.3,9.3,8.0,6.6,5.6,(D),(D),(D),(D),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",58.2,59.6,55.7,56.9,58.7,59.9,56.4,57.0,50.3,53.5,58.3,54.8,50.0,49.9,50.0,56.3,62.6
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",447.9,441.5,462.4,465.9,473.1,491.7,432.6,346.6,274.4,226.4,213.7,205.1,227.6,261.8,314.3,369.7,396.4
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1924.4,1882.7,1918.9,1944.7,1992.4,1916.0,2024.9,1921.5,1927.2,1837.0,1940.3,1890.6,1967.7,2086.0,2122.5,2151.7,2315.9
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",549.2,540.1,549.6,577.5,550.5,601.9,(D),630.9,(D),513.0,598.0,646.7,687.9,732.5,709.1,730.8,800.4
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",35.3,34.5,38.9,35.2,32.0,32.6,29.5,19.6,5.5,5.5,7.3,(D),10.3,15.6,15.8,16.5,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",24.8,25.0,28.9,26.7,24.5,25.9,31.2,25.1,20.4,18.8,21.7,20.2,16.3,12.3,16.9,16.1,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",39.8,36.4,45.2,37.6,29.2,3.5,33.0,53.0,26.4,21.1,27.5,37.1,39.2,35.4,44.7,57.9,(NA)
