GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",7116.5,7229.8,7260.4,8010.3,8171.4,8194.0,8228.1,9204.5,8949.8,8638.6,8003.4,7515.9,7860.6,7851.4,8359.9,8810.9,8454.2
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",6441.1,6544.0,6569.4,7315.9,7463.1,7482.3,7524.8,8492.2,8219.2,7890.2,7268.9,6790.3,7143.4,7118.0,7626.1,8067.4,7711.0
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),622.3,(D),(D),(D),(D)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",155.2,204.6,230.5,285.7,262.6,238.2,218.2,359.6,391.6,383.2,419.8,325.7,604.5,488.0,583.4,773.8,(NA)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.8,(D),(D),(D),(NA)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.5,1.2,0.2,0.3,0.1,0.2,(L),0.3,0.3,0.7,0.2,1.4,1.8,2.0,0.4,0.5,(NA)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.2,0.2,(L),(L),(L),0.1,(L),0.1,(L),0.1,(L),0.1,0.1,(D),(D),(D),(NA)
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),166.9,140.5,141.2,(D),(D),(D),(D),(D),(D),198.2,193.3
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",281.8,279.7,295.5,292.5,291.5,286.9,291.1,324.8,294.8,320.1,317.6,368.3,411.9,(D),609.6,694.1,300.6
 "43580" ,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),(D),3573.4,(D),(D),(D),(D),(D),(D),(D),(D),(D)
