GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",6205.9,6485.6,6470.9,7308.1,7512.9,7488.2,7785.5,7682.3,7563.8,7747.0,7648.8,8838.6,7998.8,8256.8,8267.8,8331.5,8608.8
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5360.8,5644.2,5621.6,6454.2,6624.2,6599.8,6913.0,6803.9,6651.0,6824.2,6726.2,7910.3,7078.1,7326.2,7338.0,7405.6,7683.8
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),140.1,153.6,148.2,134.4
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",84.1,126.3,80.2,147.2,133.8,131.5,127.8,132.2,137.2,141.8,213.9,171.5,199.7,122.6,135.6,128.7,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.8,19.2,20.6,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.7,8.7,9.3,7.6,8.1
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.7,8.6,9.3,7.6,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.0,19.8,20.2,36.1,(D)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",263.6,249.1,263.6,289.4,287.8,266.9,269.8,251.1,262.3,280.4,281.9,298.3,277.8,273.6,264.6,272.1,274.6
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1717.6,2035.9,1868.0,2409.0,2378.9,2390.4,2463.6,2418.5,2262.0,2430.8,2097.5,3081.6,2311.9,2521.8,2428.6,2254.0,2458.6
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",1270.6,1578.0,1358.4,1891.1,1936.9,1930.8,(D),1878.3,1643.0,1861.8,1594.4,(D),1866.6,2105.9,1986.4,1796.5,1946.0
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.4,2.9,3.0,3.2,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.0,18.2,17.8,18.8,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),12.7,15.5,(D),(D),(D),(D),(D),(D),(D),12.5,14.6,11.4,8.5,9.7,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),101.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),1512.8,1352.5,(D),(D),(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.0,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33.6,(D),33.1,31.0,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.2,4.1,4.2,(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),94.7,(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.6,11.2,9.9,(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",451.8,459.3,515.3,519.1,441.2,459.2,(D),541.7,619.0,571.3,504.5,(D),453.3,428.5,452.1,464.2,519.2
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.2,4.8,4.3,3.6,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),11.9,10.1,12.4,11.0,6.2,5.9,6.6,7.8,7.1,6.3,6.0,6.3,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.0,29.8,29.5,28.9,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),36.6,32.4,(D),(D),32.6,36.3,34.8,40.8,42.3,33.4,36.4,35.3,(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),42.3,36.0,29.7,(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.5,4.5,5.7,9.0,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",300.2,308.9,314.8,322.9,344.4,355.7,375.9,385.0,352.0,(D),(D),(D),(D),(D),(D),(D),(D)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",400.3,409.5,443.5,468.9,474.6,451.8,434.5,446.9,456.7,461.0,465.6,481.7,477.5,483.5,502.8,543.8,555.8
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),295.3,(D),(D),(D),(D),(D),286.0
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),0.0,(L),(D),(D),(D),(D),(D),(D),(D),0.5,0.3,0.2,0.1,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",41.4,34.7,42.7,44.6,42.7,48.1,50.0,53.8,49.0,44.6,43.8,44.3,42.4,44.5,42.0,40.3,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(L),(L),(L),(L),(D),(D),(D),0.1,0.0,(L),0.0,0.0,0.1,0.0,0.0,(L),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",54.7,(D),(D),(D),(D),(D),(D),(D),79.1,93.0,106.0,112.3,109.6,111.7,108.0,104.5,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",4.6,5.2,5.3,6.7,7.9,7.8,7.3,6.8,6.1,6.8,8.5,(D),(D),4.8,4.4,(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.5,(D),(D),(D),(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.2,20.0,21.8,22.8,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),70.7,65.7,(D),(D),(D),108.3,128.0,125.0,118.8,106.1,108.3,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",84.5,84.3,95.4,115.5,118.9,128.1,137.7,143.1,137.9,131.8,119.5,119.6,124.2,122.0,134.5,140.3,154.5
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",21.7,29.1,32.0,42.9,43.6,(D),48.4,48.9,44.7,46.0,39.3,45.6,49.5,54.0,(D),74.5,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.0,5.4,(D),5.5,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.0,58.2,58.9,55.8,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),4.2,(D),(D),4.1,(D),(D),(D),(D),6.9,5.6,3.9,3.5,4.3,3.5,3.7,(NA)
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",970.8,864.1,932.6,964.4,1106.2,1062.4,1269.6,1122.5,1176.1,1154.4,1246.0,1420.2,1330.5,1433.0,1513.8,1680.9,1732.0
 "47940" ,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",51,"52","   Finance and insurance",431.2,437.4,495.9,525.9,603.9,530.8,623.8,442.8,496.3,473.5,520.3,615.4,567.9,616.1,(D),(D),(D)
