GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4386.1,4638.9,4580.0,4679.0,4974.0,5058.7,5121.3,5048.8,5076.0,5151.6,5147.7,5112.7,5048.4,5033.3,5100.3,5248.6,5128.6
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3420.8,3622.8,3535.8,3626.0,3904.1,3984.7,4099.7,3999.6,4021.6,4118.9,4127.0,4114.3,4092.5,4106.3,4160.1,4307.0,4201.2
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),80.3,66.7,108.6,80.0,63.7,64.2,(D),(D),40.6,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",21.8,23.1,30.8,22.9,27.7,39.9,34.0,19.9,46.2,45.0,30.6,31.4,34.3,24.0,22.2,14.1,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),44.6,48.0,62.4,34.5,34.1,33.5,(D),(D),18.8,(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),27.9,38.6,52.7,52.1,(D),50.2,(D),(D),89.5,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",8.8,6.8,4.5,2.4,3.5,7.1,6.8,8.7,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),6.7,(D),(D),(D),(D),(D),(D),(D),23.7,(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",262.9,175.8,(D),115.4,113.2,(D),(D),142.5,109.3,(D),119.9,(D),(D),(D),(D),(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",323.1,306.6,296.1,353.5,332.1,435.0,421.8,397.4,349.0,288.5,275.6,248.1,267.1,273.2,242.8,241.0,230.8
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",403.6,546.5,428.0,411.6,624.2,511.2,592.0,507.2,553.6,637.6,(D),656.9,556.5,561.7,573.4,598.7,551.1
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),263.0,266.2,279.6,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.9,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",4.8,3.7,3.8,4.3,5.0,5.7,7.5,6.6,5.0,6.9,8.4,6.4,(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),3.5,0.3,0.4,(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",0.0,0.0,(L),(L),(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",7.9,6.9,5.8,10.3,(D),9.0,9.3,(D),(D),7.2,(D),6.1,(D),6.8,(D),5.9,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),301.7,303.8,302.9,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11.8,9.7,11.0,(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),35.7,9.2,8.5,7.0,10.4,9.9,(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",2.5,(D),1.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),2.4,0.0,0.5,0.3,3.6,14.7,0.9,0.7,2.6,2.6,3.1,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),340.4,267.1,261.6,256.3,263.3,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",191.2,201.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",404.9,421.5,441.2,419.3,443.2,457.2,442.7,443.1,447.3,471.2,501.9,548.6,598.1,609.2,649.7,669.4,665.0
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",117.8,109.8,117.3,(D),(D),124.3,122.2,(D),(D),101.4,(D),97.1,116.0,117.3,119.8,120.4,121.6
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),5.7,2.6,2.9,3.5,(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",23.1,22.6,23.2,24.9,26.1,27.7,25.8,27.7,22.5,23.5,23.2,27.3,31.0,29.6,27.9,26.9,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",0.5,(D),(L),(L),0.3,1.9,3.1,2.9,0.0,(L),0.0,0.0,0.1,2.2,0.6,0.0,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",52.2,50.4,51.2,52.6,55.4,(D),(D),47.7,41.0,41.2,38.0,35.0,(D),36.5,33.7,30.5,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.7,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),8.8,8.8,10.4,9.8,9.2,10.8,7.0,7.1,(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.7,(D),16.4,(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",5.6,4.8,4.3,5.0,5.4,5.2,4.7,4.9,5.1,6.1,6.7,(D),(D),(D),(D),26.1,(NA)
