GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5130.3,5258.5,5198.4,5351.8,5419.2,5450.0,5376.5,5345.7,5323.8,5191.4,5131.8,5153.3,5086.1,5079.1,5127.6,5203.0,5252.4
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4199.1,4331.4,4275.9,4438.6,4505.1,4522.6,4461.6,4427.4,4402.6,4282.4,4260.0,4292.4,4226.1,4196.9,4262.0,4346.0,4396.5
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),53.2,(D),(D),62.7,50.4,(D),(D),(D),(D),(D),(D)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",10.4,7.2,7.7,10.6,10.6,6.0,8.7,8.4,7.7,23.7,14.2,11.6,13.3,16.6,9.8,9.3,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),44.5,(D),(D),38.3,37.0,(D),(D),(D),(D),(D),(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),3.0,(D),(D),1.8,(D),(D),0.6,1.3,(D),(D),(D),(D),(D),(D)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),3.3,(D),(D),1.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,(D),(D),(D),(D),(D),0.3,0.0,0.0,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",171.6,149.9,125.6,(D),144.7,168.2,201.8,153.6,145.9,142.2,143.8,146.6,153.0,127.7,105.9,182.4,163.9
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",245.9,246.4,256.1,249.3,243.9,230.9,221.9,205.0,182.1,174.7,176.0,172.8,160.5,157.8,172.8,165.7,161.2
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",531.6,520.5,415.3,440.0,469.2,423.7,370.8,403.9,455.2,344.0,326.2,328.6,300.1,267.4,254.6,253.3,249.9
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",151.7,160.9,162.2,185.4,177.1,173.3,150.5,184.8,199.1,171.4,166.1,147.5,135.5,142.7,130.4,147.4,145.3
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",22.0,23.8,21.4,24.6,21.2,23.0,17.7,15.0,18.1,19.6,26.2,17.0,16.9,17.9,13.4,14.2,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",10.5,13.0,16.1,16.5,17.4,16.4,5.5,2.0,8.3,6.1,9.9,9.8,9.5,9.3,8.1,8.7,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.2,0.2,0.2,0.1,(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,(D),(L),0.1,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",14.9,18.3,20.2,20.4,20.8,19.8,24.1,50.8,74.8,43.1,31.9,41.7,22.6,24.5,24.0,26.5,(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",48.4,51.4,44.5,(D),(D),55.0,50.3,52.7,51.7,50.5,(D),(D),(D),(D),(D),(D),(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),1.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "12620" ,"Bangor, ME (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",12.2,(D),(D),(D),8.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
