GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3040.3,3160.2,3180.7,3115.0,3095.2,3175.8,3091.0,3002.7,2958.3,3012.8,2982.1,2991.1,2975.6,2852.6,2862.6,2896.7,2851.2
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2542.6,2665.3,2692.1,2634.3,2616.7,2714.7,2645.1,2553.5,2513.7,2568.0,2557.0,2563.4,2551.9,2442.2,2450.4,2489.8,2445.2
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),32.4,(D),(D),(D),43.3,44.6,43.5,31.4,14.7,18.1,15.8,14.5
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",0.0,21.1,8.8,18.2,22.9,30.8,17.0,36.5,29.7,39.3,40.7,39.2,28.3,12.1,15.8,13.3,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),1.9,(D),(D),(D),4.1,4.0,4.6,3.2,3.1,2.8,2.9,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2.7,2.2,2.1,1.6,1.3,1.3,1.5,1.5,2.2,1.7,1.0,1.7,2.5,2.1,1.9,1.4,1.2
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.8,1.4,(D),(D),(D),(D),(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.4,(L),0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),0.0,(D),(D),(D),(D),(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),180.3,(D),(D),(D),(D)
