GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",13265.0,13803.3,14047.9,13831.3,13776.7,13743.4,13235.3,12130.4,11047.7,11515.1,11773.8,11694.6,11751.7,11691.1,11934.5,11908.9,11955.4
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",11252.3,11809.5,12119.7,11920.6,11846.4,11828.3,11366.3,10248.2,9192.7,9725.4,10076.3,10071.3,10199.0,10215.4,10452.7,10432.5,10483.8
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",2.8,(D),(D),12.2,15.9,(D),(D),17.1,13.5,16.4,24.3,23.5,24.2,19.2,28.4,28.8,26.2
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",0.0,0.0,4.7,9.8,13.7,17.0,11.5,15.7,12.2,15.1,22.9,21.6,22.9,18.1,27.0,27.3,(NA)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",3.1,(D),(D),2.7,2.3,(D),(D),1.4,1.3,1.3,1.3,1.9,1.2,1.1,1.2,1.3,(NA)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1.2,1.1,1.8,2.0,1.3,1.3,1.2,1.1,1.3,1.4,2.6,4.0,4.6,4.3,5.2,3.3,3.2
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.3,0.3,(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),1.1,1.3,2.5,3.7,2.1,1.9,3.2,3.1,(NA)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",848.6,771.2,713.4,697.4,641.6,561.0,497.4,417.1,355.6,323.9,331.2,387.5,413.3,416.3,451.2,482.6,543.5
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",2970.6,3292.4,3448.1,3253.0,3288.8,3307.3,2917.7,1940.2,1121.4,1755.1,2026.6,2126.4,2208.5,2072.1,1991.7,1876.7,1741.1
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),894.9,1533.4,1802.7,1910.2,1982.3,1843.7,1768.8,1652.8,1518.0
 "22420" ,"Flint, MI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",3.2,3.9,3.9,3.3,3.4,2.6,2.7,1.5,2.6,6.6,4.5,4.8,5.7,5.5,4.6,4.1,(NA)
