GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5609.8,5736.4,6196.4,6516.3,6693.6,6703.6,7561.5,7239.2,6694.8,7092.7,7676.9,7672.3,7875.3,8738.8,9061.9,8779.8,8562.7
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4975.4,5101.9,5536.7,5835.2,6006.9,6011.7,6860.3,6527.9,5973.4,6370.7,6948.6,6945.6,7176.6,8032.0,8367.5,8070.7,7854.9
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",41.8,34.5,45.5,64.6,64.1,22.6,15.1,19.0,13.2,24.2,38.3,39.8,44.9,63.3,80.1,58.1,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",98.8,52.1,64.0,162.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),70.9,70.0,73.4,80.4,45.9,70.0,83.5,95.4,161.1,(D),255.0,367.3,372.7,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),172.1,169.3,124.7,51.3,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",64.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",112.2,113.0,111.1,118.4,110.5,113.1,118.4,124.1,111.9,117.1,(D),110.5,107.9,101.6,99.0,92.2,92.1
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),101.5,(D),89.9,(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),4.2,(D),(D),(D),(D),(D),(D),(D),4.8,(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.1,13.2,11.9,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),1.2,3.5,(D),1.0,1.1,(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),30.1,(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",8.7,6.0,12.4,13.0,15.9,19.7,15.1,13.3,10.8,16.6,13.7,11.2,10.2,11.7,15.4,16.9,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),0.6,(D),(D),(D),(D),(D),(D),(D),(D),0.9,(D),0.6,0.6,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.3,4.0,5.9,6.3,6.3,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),0.1,0.0,0.0,0.0,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),4.5,4.7,6.4,5.7,6.4,9.2,8.7,6.4,(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),19.1,31.4,15.8,17.0,14.8,14.1,12.4,11.9,15.1,15.1,15.4,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),60.9,51.2,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),1.0,1.2,1.5,2.9,2.5,3.2,3.2,2.2,1.3,1.3,1.4,1.6,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),0.2,0.3,0.4,(D),(D),(D),(D),(D),(D),(D),1.1,1.3,1.3,1.1,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(L),(L),(L),(L),(L),(L),(L),(L),0.1,(L),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",10.0,10.4,10.7,10.7,11.4,12.5,13.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",464.9,487.5,739.2,798.5,(D),698.6,977.5,(D),366.6,546.6,673.1,616.2,609.1,1048.0,1071.3,899.5,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.0,23.0,31.4,30.9,(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),1.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),709.6,742.4,772.4,750.4,(D),(D),(D),(D),(D),(D),768.3,764.5,780.2
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "13740" ,"Billings, MT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",273.4,279.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
