GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4445.8,4555.8,4429.4,4573.1,4587.6,4694.1,4570.8,4499.0,4199.4,4369.5,4562.3,4722.0,4615.7,4506.4,4446.3,4610.7,4722.5
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4050.9,4149.5,4027.1,4169.6,4177.8,4274.3,4144.9,4059.3,3758.6,3937.7,4146.9,4324.1,4224.6,4114.8,4043.7,4206.9,4313.5
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),6.5,2.7,8.8,5.3,10.2,7.4,7.4,9.8
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",18.7,7.6,15.4,13.8,15.5,16.9,12.2,6.6,4.9,3.9,0.2,4.9,2.6,6.8,4.0,3.3,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),2.6,2.9,3.2,2.5,2.3,2.7,3.3,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),5.4,5.2,4.1,4.4,5.6,6.7,7.3,9.7
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.1,0.0,0.0,0.0,0.0,(L),(L),(L),(L),0.0,0.0,0.0,0.0,(L),0.0,0.0,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.1,0.1,0.0,0.0,0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",48.2,50.7,52.7,54.4,53.1,36.7,31.3,22.8,27.2,31.1,52.3,145.4,168.5,45.9,39.6,42.0,40.6
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",327.9,301.1,306.1,331.9,293.6,274.0,275.8,241.4,211.3,203.9,185.9,185.2,190.4,182.0,183.4,186.3,189.4
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1054.5,1108.2,1029.9,1132.8,1129.0,1233.2,1152.2,1083.1,939.2,1027.6,1034.5,1094.2,1035.8,954.6,940.6,942.5,971.6
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),321.3,322.1,367.7,403.5,500.4,472.2,474.9,390.0,493.1,499.5,526.1,485.4,448.1,432.1,441.6,449.6
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",16.8,17.1,22.1,17.8,13.9,17.2,19.1,18.5,15.3,23.8,23.6,25.8,25.9,26.3,29.1,28.0,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",26.7,20.0,18.5,21.7,21.2,20.5,23.1,21.8,16.1,14.2,17.4,11.5,10.9,15.6,15.3,15.1,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),19.8,(D),(D),(D),(D),(D),(D),(D),(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",60.2,55.2,77.7,89.8,78.2,85.5,93.5,98.7,66.2,78.4,81.8,86.7,92.2,82.8,81.0,77.5,(NA)
