GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2619.5,2646.2,2869.4,2819.3,2965.3,3095.8,3200.6,3214.4,3238.6,3331.9,3524.8,3624.9,3624.9,3603.5,3698.4,3764.5,3850.1
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2195.0,2209.6,2424.5,2386.8,2535.1,2643.5,2762.6,2766.7,2793.2,2844.9,3047.7,3153.1,3170.3,3129.6,3226.9,3291.4,3379.4
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),344.3,294.2
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",110.5,128.4,186.9,167.5,194.8,191.9,197.8,205.8,271.0,229.5,295.4,256.9,273.5,215.5,274.9,329.9,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.7,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.6,7.2,6.6
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),(L),(L),0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.1,(L),0.3,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.5,6.7,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.2,0.2,0.0,0.3,0.2,(L),(L),0.1,(L),(L),(L),0.1,0.1,0.1,0.1,0.3,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),18.9,101.0,31.9,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",133.9,139.3,142.8,146.0,123.4,124.3,150.3,148.3,109.8,112.2,100.7,114.8,124.9,153.6,166.6,172.5,165.3
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",495.3,463.8,472.3,506.0,632.4,709.6,710.2,767.2,739.3,787.4,891.2,886.1,906.5,837.2,757.2,769.4,829.8
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),534.7,424.7,326.5,(D),(D)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22.7,24.7,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.1,4.5,3.7,3.6,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.0,0.0,0.0,0.0,0.0,(L),0.1,0.1,(L),0.1,(L),0.0,0.0,(L),(L),(L),(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),146.7,136.4,128.5,133.9,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),174.5,(D),(D),(D),(D),339.6,237.5,146.8,105.9,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.5,3.4,3.9,3.5,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,0.0,0.0,0.0,(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",1.0,1.0,1.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.2,18.3,18.0,17.1,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),379.7,416.1,430.6,(D),(D)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),303.2,313.2,337.0,383.3,(NA)
 "24260" ,"Grand Island, NE (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",1.1,1.2,1.1,1.3,1.1,1.2,1.3,(D),(D),(D),(D),(D),(D),0.8,1.1,1.0,(NA)
