GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8782.6,8933.0,9027.6,9243.2,9486.3,9716.3,9667.3,9642.1,9678.0,9835.2,9582.8,9649.6,9608.6,9385.7,9438.2,9514.4,9536.9
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",6440.0,6589.1,6639.3,6862.5,7079.4,7310.4,7213.1,7112.5,7121.3,7196.4,7021.0,7105.9,7058.2,6989.6,7139.0,7248.8,7281.6
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",111.7,96.4,93.2,95.5,112.5,105.9,64.5,62.5,48.7,68.9,74.2,56.3,67.0,75.9,50.4,57.1,53.9
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",99.2,84.8,81.1,83.4,99.7,91.6,53.7,53.1,41.6,61.3,67.0,49.8,60.0,68.1,42.3,48.6,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",12.7,11.8,12.3,12.3,12.7,14.4,11.3,9.4,7.1,7.6,6.8,6.7,7.0,7.5,8.4,8.8,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",5.7,5.1,9.0,9.7,18.4,18.7,14.6,14.4,17.5,30.6,28.0,28.6,26.6,28.4,25.4,33.1,30.6
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.3,0.3,0.2,0.4,1.4,3.6,7.1,5.8,5.1,4.4,4.9,2.8,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",6.0,5.4,9.4,10.0,18.8,19.1,14.9,14.4,16.1,26.3,18.5,21.3,20.6,23.3,19.7,28.2,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),0.0,(L),0.1,0.1,(L),(L),0.1,0.1,0.6,1.6,0.8,0.4,0.4,0.5,0.7,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),128.4,126.4,126.3,130.0,125.4
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",348.7,361.1,374.5,367.3,360.1,360.1,361.0,343.8,333.3,339.4,336.9,343.4,327.1,306.6,285.7,282.4,279.2
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1073.7,1069.4,1029.4,1077.6,1124.5,1114.6,1078.8,997.4,920.1,1015.0,954.5,1088.3,1110.3,1168.3,1163.0,1173.9,1184.6
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",734.4,732.1,719.4,755.6,759.9,720.3,776.0,726.4,610.3,690.2,660.0,823.0,837.7,881.9,883.4,888.7,875.3
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",19.1,22.2,22.4,17.3,20.8,19.7,21.9,23.9,18.6,22.0,22.3,20.3,15.4,16.9,18.5,20.2,(NA)
 "46540" ,"Utica-Rome, NY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
