GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3030.4,3159.0,3090.1,3332.7,3304.8,3470.4,3337.3,3236.6,3219.7,3161.7,3233.0,3333.5,3309.6,3282.9,3409.5,3656.5,3629.8
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2574.8,2695.7,2622.1,2873.9,2861.8,3034.8,2901.9,2788.1,2768.1,2716.8,2790.4,2903.1,2894.1,2860.5,2984.1,3216.9,3185.9
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",162.8,201.2,176.6,(D),(D),(D),195.2,(D),(D),(D),(D),(D),(D),(D),161.5,(D),(D)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",78.9,111.0,102.8,116.4,114.7,163.8,106.1,61.0,59.5,46.1,37.2,47.9,50.7,54.4,62.0,79.2,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",79.3,83.9,67.8,(D),(D),(D),83.3,(D),(D),(D),(D),(D),(D),(D),100.2,(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10.1,10.0,9.1,(D),(D),(D),4.8,(D),(D),(D),(D),(D),(D),(D),1.7,(D),(D)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),(L),(L),0.1,0.2,0.2,0.2,(L),(L),(L),0.1,0.2,0.3,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",10.7,10.7,9.6,(D),(D),(D),5.0,(D),(D),(D),(D),(D),(D),(D),1.4,(D),(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.2,0.2,0.2,0.2,0.1,(L),0.1,0.1,0.1,0.1,0.0,0.0,0.0,(D),0.1,0.3,(NA)
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",72.6,77.5,83.3,94.7,97.7,102.5,161.8,87.4,94.8,78.1,68.2,109.7,103.5,96.8,91.0,84.5,86.6
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",212.7,186.2,177.1,176.5,181.7,200.2,214.2,202.2,160.8,152.5,150.6,146.4,158.7,167.9,181.4,188.5,201.6
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",702.2,755.2,728.1,933.2,895.6,899.4,784.1,804.8,908.0,858.4,938.2,918.0,949.8,828.0,848.8,963.0,884.6
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),382.9,392.7,514.3,493.1,518.2,423.6,440.9,512.0,481.3,589.2,603.2,648.4,561.5,596.4,653.1,637.2
 "10540" ,"Albany, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",112.0,118.8,127.6,161.6,154.4,142.2,128.0,68.1,94.0,123.9,143.4,151.2,144.0,114.6,117.5,119.5,(NA)
