GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4677.8,4894.0,4936.1,5078.5,5162.8,5365.8,5534.9,5640.2,5523.8,5584.3,5313.8,5131.5,5138.9,4986.3,5077.8,5172.5,5310.6
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3836.0,4023.5,4021.0,4102.0,4135.7,4300.4,4403.7,4452.8,4305.8,4350.2,4092.0,3978.7,4088.2,3978.9,4095.1,4195.3,4345.2
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),2.3,3.7,2.7,2.6,0.2,(D),3.9,4.6,3.2,4.1,3.7,3.6,3.4,4.8,4.5
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",0.0,0.0,1.4,3.0,2.2,2.3,0.0,1.0,3.6,3.9,2.3,3.1,2.8,3.1,2.7,4.0,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),1.3,1.2,0.9,0.6,0.3,(D),0.3,0.7,1.0,1.1,1.0,0.6,0.7,0.8,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),6.4,12.6,13.7,11.7,13.9,14.3,12.7,14.0,15.0,14.2,15.7,24.2,26.8,32.5,45.7
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,(L),(L),(L),(L),0.1,0.3,0.9,2.0,3.7,5.1,11.2,9.7,10.8,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),6.5,12.8,13.9,11.8,14.1,14.3,12.4,13.0,12.5,9.7,9.4,10.3,14.2,17.7,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),0.1,0.3,0.3,0.2,0.4,0.3,0.6,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",41.4,43.9,48.1,50.3,25.7,25.7,25.7,25.3,23.7,27.3,38.0,26.9,23.1,20.0,39.4,38.4,38.7
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",319.0,316.8,323.3,337.3,327.2,288.3,262.9,237.4,188.5,177.8,173.9,173.6,180.2,181.0,180.5,184.3,187.2
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",891.3,1040.1,1057.6,1102.8,979.5,1084.6,1287.8,1239.0,1323.6,1388.0,1162.9,1096.3,1156.5,1121.8,1164.0,1129.4,1108.4
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",164.3,165.7,153.6,160.0,155.5,160.9,(D),(D),(D),(D),(D),(D),102.1,107.0,112.3,109.3,107.3
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",1.7,1.9,2.3,2.4,2.9,2.8,2.8,2.5,2.0,1.9,(D),0.4,0.4,0.5,1.8,1.6,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",3.0,2.7,3.1,3.6,4.8,4.9,4.7,6.9,4.9,5.4,5.6,6.9,7.2,6.9,6.8,7.0,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),32.6,(D),31.8,23.0,18.5,22.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",51.7,46.0,43.5,45.3,47.7,50.4,53.4,51.5,39.9,37.9,42.5,36.3,30.4,32.5,31.7,28.7,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",0.3,0.5,0.5,0.5,0.7,0.8,0.7,0.5,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),3.7,3.4,1.4,1.9,(D),(D),(D),(D),(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",18.1,19.8,7.5,(D),5.9,6.2,5.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.1,1.4,0.7,(D),(NA)
