GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3261.1,3367.1,3345.4,3491.4,3433.0,3390.8,3296.4,3376.0,3199.6,3445.7,3387.7,3628.7,3621.9,3740.3,3803.0,3715.1,3751.8
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2877.8,2969.2,2959.8,3099.1,3007.3,3025.3,2956.9,3009.5,2829.6,3097.3,3028.5,3257.8,3256.7,3377.6,3440.8,3347.1,3380.6
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64.0,102.3,121.6,23.1,(D)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",42.7,13.9,15.7,37.5,34.7,14.7,0.0,25.0,57.7,98.2,54.1,45.6,60.1,97.7,116.7,17.3,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.0,4.2,4.3,5.3,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.0,6.1,5.5,6.8,(D)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.5,0.8,0.8,(L),(L),0.0,0.0,(L),0.2,0.1,0.1,(L),(L),(L),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),0.0,0.0,(L),0.3,0.1,(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",190.1,190.5,(D),(D),(D),(D),(D),(D),(D),128.7,133.5,151.2,137.9,157.7,166.3,142.8,145.9
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",953.8,997.9,993.9,1018.8,1107.0,1214.0,1167.8,1128.1,986.6,1005.2,1068.3,1200.5,1240.9,1254.6,1287.9,1292.5,1259.7
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",409.3,461.3,503.7,480.9,549.5,559.2,459.8,513.6,457.6,451.7,517.8,612.0,629.1,720.3,808.5,715.6,641.1
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",3.2,3.9,2.8,3.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",5.0,6.0,(D),7.5,8.6,6.8,5.6,6.7,5.4,4.8,22.9,58.8,50.4,45.5,64.6,75.1,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.8,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),17.4,(D),(D),(D),(D),(D),(D),35.9,36.3,37.3,33.0,29.1,(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",9.6,9.5,8.4,6.6,9.1,9.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",290.3,326.3,370.1,337.3,382.6,395.7,304.1,348.0,309.9,276.4,315.6,375.2,390.8,462.7,523.4,491.7,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.5,16.8,19.2,22.2,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,1.0,1.3,1.3,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),28.9,31.4,37.3,43.8,45.5,(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),47.7,(D),(D),68.4,(D),(D),(D),81.9,(D),7.3,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",546.4,536.1,486.8,536.3,554.6,653.3,710.9,614.6,529.0,553.4,551.6,591.6,614.7,543.7,495.0,583.2,618.7
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),253.6,237.4,264.2,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),31.3,(D),25.0,16.0,(D),(D),(D),5.6,6.2,5.0,11.2,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22.7,(D),20.2,20.5,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",72.3,74.0,69.9,61.1,57.0,63.6,55.3,47.7,42.9,48.7,43.7,51.6,48.3,55.2,22.7,23.1,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",3.5,4.6,(D),5.0,4.7,4.7,4.7,4.4,4.3,3.9,3.3,3.1,3.8,4.3,4.0,3.8,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",14.9,(D),(D),(D),0.1,0.3,1.0,1.4,0.2,0.1,0.2,0.9,0.9,1.4,0.9,0.6,(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17420" ,"Cleveland, TN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
