GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",7078.6,7167.0,7270.8,7628.7,8345.2,9327.3,9983.2,10496.3,9907.2,10366.7,9794.8,10072.1,10091.5,10247.5,9678.8,8926.8,9136.7
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",6395.2,6480.9,6589.5,6982.1,7690.8,8674.6,9309.8,9817.5,9209.8,9648.6,9112.3,9385.1,9404.8,9555.4,8977.4,8213.2,8416.9
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",75.0,96.2,77.2,73.4,61.4,48.4,41.1,28.7,32.1,44.8,23.6,44.0,53.7,70.3,89.7,85.0,73.1
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",53.9,75.2,60.8,55.9,46.1,31.9,25.1,15.9,20.7,33.2,14.7,32.2,42.5,57.2,74.9,70.1,(NA)
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",19.1,18.2,14.1,15.7,14.0,15.8,15.7,13.2,11.4,11.4,9.4,10.8,8.5,9.1,9.3,9.6,(NA)
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1198.1,1156.5,1102.7,1016.6,1271.0,1598.4,1786.2,2081.3,1885.5,1741.2,1801.7,1786.6,1805.4,1918.3,1798.2,1299.5,1503.3
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),301.5,387.0,(D),(D),(D),(D),794.6,604.7,739.0,964.3,929.8,811.7,861.2,591.2,395.4,(NA)
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",308.5,298.5,301.3,319.4,329.1,366.9,344.3,376.5,381.7,403.4,352.5,372.4,378.7,397.9,394.5,396.6,373.2
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",446.4,455.3,463.5,469.4,505.6,509.6,553.3,606.2,634.9,756.8,704.3,778.1,762.2,729.0,730.6,757.5,654.1
 "30980" ,"Longview, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1212.2,1230.8,1308.5,1722.7,1872.5,2272.4,2469.1,2298.3,1819.4,2069.4,1414.6,1514.3,1430.7,1361.4,1131.0,1024.5,1137.2
