GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2519.6,2642.0,2858.1,3278.9,3632.5,3894.4,4027.4,3695.6,3360.9,3360.5,3522.0,3547.5,3706.8,3882.0,4149.6,4480.2,4705.0
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2195.1,2315.4,2517.2,2920.2,3241.8,3476.4,3598.0,3239.1,2881.0,2886.5,3044.1,3076.3,3243.7,3408.7,3675.1,3990.2,4208.9
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,(D),(D),(D),(D),(D)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",1.1,0.0,0.2,1.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.6,2.9,0.0,(NA)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,(D),(D),(D),(D),(NA)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),56.5,49.9,55.3,34.6,29.6,29.9,38.1,58.0,40.1,47.0,48.4
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.7,0.1,(D),1.0,0.9,1.7,1.6,(NA)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),55.3,49.1,54.3,33.8,(D),26.8,36.2,56.0,37.8,44.5,(NA)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),0.9,1.0,(D),1.2,0.7,1.0,0.0,(D),(D),0.9,1.2,0.8,0.9,(NA)
 "41100" ,"St. George, UT (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",14.8,14.7,18.2,22.1,23.8,25.1,26.0,31.6,30.0,33.4,38.2,38.4,40.0,40.6,41.9,45.6,43.2
