GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",69736.1,69409.6,71943.7,74714.5,78035.7,82209.1,83584.5,82622.5,82470.1,81131.9,81362.6,80740.2,80262.6,79997.8,82057.6,81021.9,81820.7
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",47450.5,46638.5,48845.1,51178.2,54645.1,58208.2,59897.3,58673.6,58321.2,56952.0,57078.0,56764.4,57001.1,56444.7,58134.2,57207.7,58117.6
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),108.4,67.1,56.6,84.6,79.1
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",62.2,70.7,111.9,101.1,124.7,131.3,76.5,76.2,108.4,67.9,68.4,67.0,63.5,25.8,15.4,45.3,(NA)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),47.2,47.7,47.6,50.5,(NA)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",2.8,3.5,4.7,7.0,2.8,2.4,2.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),36.3,19.4,14.2,15.2,(NA)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",1.6,1.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "47260" ,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),667.8,635.3,600.3,635.7,616.4
