GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8144.3,8735.7,8976.2,9011.9,9106.6,9171.8,9045.8,9184.7,9335.0,9367.6,9174.3,9002.9,8841.6,9152.7,9265.2,9677.5,9867.2
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4029.3,4256.0,4532.3,4783.7,5037.2,4971.6,4992.4,5077.4,5172.7,5149.8,4932.8,4699.2,4711.1,4867.1,4936.0,5005.9,5213.4
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",15.9,14.8,16.7,29.4,25.7,31.1,18.0,14.1,14.1,(D),28.6,32.7,34.2,35.6,24.9,(D),(D)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",1.4,1.8,3.8,2.5,1.3,4.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.4,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",13.5,12.0,11.6,25.7,23.5,25.8,15.5,14.1,14.1,(D),28.6,32.7,34.2,35.6,23.2,(D),(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",7.3,8.5,8.2,7.1,10.3,13.7,14.9,10.1,10.6,(D),3.3,3.4,2.6,3.4,4.0,(D),(D)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(D),(D),(D),(D),(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),7.1,10.4,13.6,14.9,9.8,10.5,(D),3.3,3.3,(D),(D),(D),(D),(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),0.0,(L),0.1,0.1,0.3,(L),(L),0.1,(L),(L),(L),0.0,0.1,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",81.0,63.6,53.2,60.0,61.2,66.1,83.6,99.9,129.5,92.4,97.2,96.7,93.0,89.6,87.1,100.0,102.5
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",422.4,413.2,411.6,442.0,440.9,419.7,451.1,448.7,404.9,370.3,343.7,327.5,353.6,352.2,356.7,356.8,353.2
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",118.0,129.5,133.8,132.5,149.0,241.9,206.6,192.6,203.5,202.2,195.1,202.6,210.8,226.2,244.0,251.1,313.2
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",92.8,103.4,111.8,116.1,129.9,222.9,184.2,173.2,183.4,182.2,175.2,181.0,187.8,202.1,220.5,223.8,283.5
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",2.3,2.2,2.9,3.0,2.3,1.7,2.0,2.2,2.2,3.1,3.6,3.7,3.9,4.3,4.6,4.0,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",13.9,13.8,15.4,17.2,18.0,16.1,17.7,14.6,9.6,9.5,8.4,6.3,7.9,7.9,8.6,8.1,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.1,(L),0.0,0.0,(L),(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",10.2,11.7,13.6,12.7,13.2,18.9,17.9,14.6,10.0,10.1,11.3,11.4,11.1,12.0,9.7,12.2,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",2.4,2.8,2.9,2.1,1.9,2.7,3.8,3.8,4.5,6.3,5.3,5.2,2.9,1.9,3.0,3.3,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",1.3,1.6,1.6,1.8,2.0,1.7,1.8,1.5,0.0,0.0,0.0,2.1,4.9,5.0,5.0,9.6,(NA)
 "14740" ,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),1.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.6,(NA)
