GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",6173.7,6460.7,6685.3,6733.7,6953.9,7071.8,7115.3,7366.2,7588.0,7890.0,7971.7,7859.2,7678.8,7886.2,8004.9,8377.3,8419.9
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5029.8,5305.5,5508.7,5559.5,5743.1,5838.4,5886.9,6073.8,6298.2,6618.3,6723.4,6589.3,6440.0,6647.0,6777.9,7128.1,7141.6
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",702.2,822.4,872.0,876.2,930.6,1052.3,947.7,985.0,1108.3,1147.3,1151.5,1180.8,1080.5,1290.1,1357.2,1639.6,1433.4
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",521.5,617.1,653.5,680.4,722.9,782.7,703.9,753.7,843.8,895.7,863.7,856.6,761.5,927.6,1007.7,1296.6,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",188.7,214.3,228.1,199.8,211.9,276.9,252.5,230.8,264.6,250.6,295.7,345.4,348.5,391.0,374.8,379.5,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0.8,1.1,1.1,0.9,1.3,2.0,2.8,4.7,4.8,4.3,2.5,3.1,2.6,3.2,3.0,2.7,2.2
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),0.0,0.0,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.9,1.1,1.1,1.0,1.3,2.0,(D),(D),(D),(D),(D),2.6,2.1,2.3,(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,(L),0.0,(L),(L),(D),(D),(D),(D),(D),0.5,0.6,0.9,(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",91.6,102.6,89.6,83.5,91.2,90.5,105.2,110.5,125.1,131.8,119.5,105.2,100.8,99.1,96.6,106.1,108.9
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",248.7,228.6,235.0,259.7,252.2,257.3,272.5,295.7,289.2,295.9,270.0,261.1,243.5,252.1,261.2,304.8,294.2
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",820.4,820.3,819.0,834.0,953.5,856.8,892.0,776.1,753.1,757.5,816.2,785.0,836.1,763.1,768.1,774.3,813.8
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),217.7,273.0,365.7,376.2,397.1,322.6,303.5,293.6,303.4
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",68.2,55.9,55.4,53.5,50.7,35.2,29.7,28.7,22.4,26.1,25.4,29.1,29.7,30.9,29.5,25.4,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",16.1,16.7,13.5,15.4,16.2,14.8,15.4,12.8,11.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",60.4,60.8,65.1,67.2,73.3,82.0,86.6,77.3,53.7,67.2,75.9,72.8,89.3,89.0,71.9,73.5,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",38.1,32.6,38.7,40.6,45.8,53.3,69.4,69.7,68.1,64.2,61.1,61.7,44.3,48.8,43.3,43.1,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.4,(D),(D),(D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),35.3,27.2,(D),(D),(D),(D),(D),(D),23.4,(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),76.9,93.1,(D),(D),(D),(D),(D),(D),103.3,(D),(D),(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",6.0,5.5,5.6,5.7,6.6,6.6,7.2,7.5,6.3,5.9,4.7,3.4,3.7,2.9,3.0,2.7,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",17.9,18.3,18.1,16.7,16.5,18.3,17.9,20.4,21.7,19.6,17.2,14.1,14.6,15.0,16.0,13.9,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),535.4,485.9,457.3,417.7,448.2,445.6,468.0,483.2,512.6
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",285.3,247.2,238.4,215.4,225.7,265.8,320.5,265.6,302.4,266.9,268.4,243.7,262.9,272.2,270.0,275.2,(NA)
 "49420" ,"Yakima, WA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",1.2,1.1,0.9,1.0,1.5,1.7,(D),(D),(D),(D),1.4,(D),(D),(D),(D),(D),(NA)
