GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3473.8,3480.4,3578.0,3668.8,3702.8,3736.1,3817.4,3855.0,3623.6,3794.2,3838.1,3874.7,3919.8,4069.2,4180.1,4269.6,4387.8
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3087.0,3083.1,3184.9,3270.6,3301.2,3340.5,3427.6,3442.3,3206.1,3368.1,3425.6,3457.0,3522.6,3672.8,3796.2,3880.6,3996.5
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",67.2,61.0,(D),77.3,85.4,81.3,96.7,106.9,65.8,130.6,134.4,115.5,120.3,160.5,158.8,185.1,162.8
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",62.2,56.1,73.5,72.1,80.5,76.1,91.3,100.6,59.7,124.0,128.2,109.2,113.8,152.7,152.3,178.8,(NA)
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",4.9,4.8,(D),5.0,4.6,5.0,5.0,5.8,6.1,6.3,5.8,6.3,6.7,7.6,6.1,5.9,(NA)
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",32.8,34.9,39.9,40.0,35.9,45.7,41.5,53.6,55.2,54.7,46.0,45.9,56.8,113.3,91.9,85.3,51.5
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),0.0,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(NA)
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",32.8,35.0,39.9,40.0,35.9,45.7,41.5,53.6,55.2,54.7,46.0,45.9,56.8,113.2,91.9,85.2,(NA)
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,(L),(L),(L),0.0,(L),(L),(L),(L),(L),(L),(L),(NA)
 "22540" ,"Fond du Lac, WI (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
