GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3938.4,4149.8,4035.5,3909.5,3936.2,3648.0,3702.4,3920.7,3687.5,3530.1,3484.7,3582.7,3600.2,3787.5,3633.2,3738.5,3702.6
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3530.9,3745.7,3628.7,3510.7,3539.7,3262.4,3324.5,3544.8,3312.8,3150.4,3118.2,3218.1,3253.6,3453.2,3301.7,3408.6,3371.2
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",6.5,12.5,7.8,4.7,4.0,6.4,4.2,2.1,3.9,2.9,2.0,1.9,2.2,2.9,3.5,3.0,(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),35.0,(D),(D),(D),(D)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",6.4,10.7,6.7,5.2,2.1,0.4,(D),(D),(D),(D),0.9,1.6,3.9,(D),(D),(D),(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27.1,25.2,(D),8.0,(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.0,6.4,7.8,(D),(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),(D),(D),(D),(D),(D),(D),(D),143.7,(D),(D),(D),(D),(D),126.3,133.2
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1145.7,1259.4,1180.8,1091.3,1155.9,870.0,838.9,865.0,778.0,717.9,725.8,681.6,749.9,935.6,902.1,1028.1,981.3
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),484.1,475.8,496.2,505.7,500.4
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",11.7,12.2,(D),(D),(D),(D),(D),10.2,8.1,8.5,(D),(D),(D),(D),(D),(D),(NA)
 "48260" ,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
