GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5306.9,5397.8,5537.6,5559.2,5663.8,5686.6,5752.7,5949.1,5915.6,6022.0,6048.8,6349.5,6357.0,6675.9,6532.0,6427.4,7129.5
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",4650.1,4738.7,4875.7,4908.3,5001.0,5045.2,5122.3,5319.9,5279.4,5386.6,5423.2,5721.6,5750.1,6091.0,5951.5,5844.5,6549.8
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",7.2,10.0,11.6,13.9,15.8,21.2,7.5,6.4,8.1,8.9,14.8,8.4,2.8,22.5,21.5,14.3,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",682.3,(D),778.7,776.0,786.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),110.6,(D),215.4,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1002.4,(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),229.2,297.1,183.8,139.6,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",208.8,(D),217.6,222.8,258.1,(D),(D),(D),(D),(D),200.8,222.8,(D),(D),(D),(D),(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",641.3,662.9,638.3,595.3,567.1,616.3,614.7,644.7,709.6,578.0,553.1,491.7,487.7,463.5,444.3,472.3,(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),163.9,(D),166.0,167.7,(D),(D),(D),(D),103.4,119.8,119.2,113.3,(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),0.6,0.6,(D),0.9,(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.3,19.7,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.9,(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",44.4,54.7,58.3,54.4,61.2,58.2,64.0,60.8,44.8,44.1,50.6,49.0,48.4,50.9,50.8,50.2,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),0.4,0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),0.1,0.0,0.4,0.2,(L),(D),(D),(D),(D),(D),0.1,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(L),(L),(L),(L),(L),(L),0.3,0.0,0.0,(L),0.0,0.0,(L),(L),0.1,0.1,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",4.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.8,2.0,2.1,2.3,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",13.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.9,(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),399.6,(D),446.5,475.4,(D),(D),(D),(D),385.0,347.1,329.0,361.4,346.0
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),83.5,74.9,69.9,(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),0.6,0.9,0.8,0.8,0.7,1.0,0.9,(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),5.5,4.6,4.7,4.4,4.1,4.0,4.1,3.6,3.9,4.8,4.3,3.0,2.3,(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.7,10.7,(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),257.9,230.6,222.7,258.6,(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",246.9,235.6,243.3,261.4,294.0,294.6,294.2,(D),269.0,(D),(D),(D),(D),(D),(D),(D),(D)
 "48540" ,"Wheeling, WV-OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",441.1,449.2,454.7,447.7,456.8,456.4,452.1,432.2,440.9,452.5,455.2,461.8,479.5,477.0,494.4,487.8,483.6
