GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3393.7,3540.1,3685.9,3936.6,4331.9,5280.7,5471.0,6691.8,5772.9,5503.0,5564.2,5820.9,5815.7,6154.6,5807.1,5096.8,5426.1
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3045.6,3184.0,3315.5,3568.4,3960.4,4881.9,5037.2,6236.2,5322.7,5052.9,5119.3,5364.1,5353.8,5689.4,5350.8,4640.8,4981.2
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.1,12.3,11.0
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",6.8,8.8,10.8,8.0,12.3,4.6,0.0,0.0,0.0,0.0,8.8,0.0,6.6,14.4,11.0,8.0,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.4,2.2,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",937.1,859.6,887.7,1047.2,1315.4,1927.9,1920.4,2661.6,2002.1,1595.5,1415.3,1321.0,1225.4,1302.2,1065.4,660.4,808.2
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",624.6,641.6,602.0,649.4,(D),(D),1254.3,1906.1,1440.4,909.2,677.3,610.3,616.3,681.5,742.4,536.6,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",0.0,15.4,26.8,87.0,(D),(D),160.7,127.7,185.7,297.3,323.9,303.9,209.1,152.9,108.0,77.5,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",321.5,226.1,281.6,367.7,420.9,628.6,585.3,623.1,375.9,417.5,483.4,479.4,457.8,521.9,277.5,115.7,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),48.3,48.3,45.8,45.6,41.5
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",234.8,245.5,263.3,249.1,251.8,248.9,212.5,232.1,259.4,369.8,436.1,480.1,439.4,443.7,365.1,322.8,277.7
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",179.8,162.2,202.5,227.8,218.2,227.9,267.7,339.3,213.4,219.2,240.7,247.1,215.3,224.8,263.2,212.2,202.0
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",69.2,65.8,65.7,84.0,94.1,104.3,118.5,147.9,113.7,120.7,153.4,156.4,123.0,141.6,129.1,92.0,(D)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",0.8,0.9,0.7,1.9,1.6,1.0,1.0,1.1,1.0,0.9,1.2,1.3,1.2,1.1,2.9,2.1,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",12.2,11.6,10.8,8.0,7.3,5.1,6.8,8.7,10.0,11.2,10.2,16.9,15.8,10.6,11.9,12.4,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",29.1,22.4,27.0,43.9,47.8,49.8,66.9,73.9,60.9,57.1,63.4,68.4,50.3,57.9,42.8,28.8,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",10.8,11.0,3.5,5.2,7.5,11.1,14.0,19.3,15.0,16.1,21.7,24.1,26.4,28.9,26.9,18.4,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),0.0,(D),(D),(D),(L),0.0,0.0,0.0,0.1,0.2,(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",2.0,1.7,2.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.5,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",0.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",1.6,1.9,1.8,1.8,1.6,1.8,1.4,1.5,0.0,0.0,3.1,2.9,2.6,2.3,1.8,1.3,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",106.9,92.4,134.8,140.6,121.7,122.1,146.4,187.2,99.7,98.8,94.3,97.4,92.9,88.4,130.1,115.9,(D)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",1.1,1.0,0.7,0.9,1.7,2.3,2.4,2.4,1.1,0.9,1.0,1.2,2.2,2.1,2.1,0.9,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",0.6,0.5,(D),(D),(D),(D),0.7,0.3,(L),0.0,0.1,0.4,0.0,0.1,0.1,0.0,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(L),(L),(L),(L),0.0,0.0,0.1,(L),(L),(L),(L),0.0,0.2,0.4,0.2,0.0,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",2.8,2.8,2.9,2.6,2.1,2.0,2.0,7.3,4.4,4.5,5.4,6.5,3.2,2.8,2.9,2.8,(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16220" ,"Casper, WY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),20.8,(D),(D),15.9,13.9,13.2,14.3,(D),(NA)
