GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3377.7,3670.9,3996.3,4424.6,5140.8,5452.2,5701.4,5540.7,5491.9,5400.6,5432.9,5755.1,6442.8,6719.0,6643.5,7008.3,7322.2
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3010.0,3278.9,3564.5,3941.5,4637.7,4951.6,5133.2,4942.7,4883.7,4788.7,4816.9,5135.5,5816.6,6078.9,5969.6,6307.8,6603.5
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",33.0,24.6,41.3,40.0,24.3,38.2,34.6,25.8,38.3,33.4,44.8,55.3,63.1,34.1,28.8,29.8,33.9
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",12.2,4.1,23.0,25.6,12.3,26.5,26.4,18.3,29.3,11.1,21.5,26.2,45.9,18.1,14.6,15.7,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",20.8,20.5,18.3,14.5,12.1,11.8,8.3,7.5,9.0,22.3,23.3,29.1,17.2,16.1,14.2,14.1,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",6.1,5.1,7.4,5.3,9.4,10.3,5.1,3.4,0.5,4.2,8.6,22.6,49.7,52.6,25.5,21.8,22.5
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.5,0.8,17.8,45.9,(D),(D),(D),(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",3.1,2.7,3.5,4.8,8.0,(D),(D),(D),(D),3.4,6.4,1.3,0.0,(D),(D),15.3,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.3,1.5,3.5,3.8,(D),(D),(D),(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",36.9,38.2,40.1,48.0,51.1,59.7,61.2,67.6,71.2,78.4,77.4,72.7,72.9,79.5,77.3,84.1,85.1
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",279.4,276.9,294.5,349.7,462.6,578.1,568.3,456.2,333.6,281.7,242.2,235.3,242.9,274.4,321.9,372.9,381.1
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",269.4,296.1,278.1,344.9,409.5,445.3,401.9,366.6,347.3,356.5,352.8,382.0,364.9,386.6,408.5,409.1,426.5
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",208.0,221.7,199.6,251.5,302.4,319.9,285.5,274.2,249.9,267.7,257.3,275.9,268.0,283.3,304.3,302.8,313.5
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",12.3,13.1,16.5,24.0,27.6,36.5,30.8,24.1,22.7,24.5,24.3,21.1,24.8,23.9,25.7,27.6,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",16.4,18.3,18.5,20.7,25.5,30.0,29.4,21.7,13.8,14.0,13.3,12.5,16.2,17.6,19.4,19.4,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),4.2,0.0,0.0,0.2,(L),0.9,2.8,3.6,2.2,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",15.3,14.0,11.8,17.8,22.3,21.5,14.1,16.2,16.0,17.5,16.5,19.5,22.6,24.4,26.6,33.0,(NA)
 "19300" ,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",18.4,15.7,10.8,18.2,25.1,29.9,35.5,36.4,34.4,34.3,42.5,47.4,46.4,42.7,41.0,38.9,(NA)
