GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3457.2,3749.9,3831.3,4110.1,4354.3,4474.9,4550.8,4465.5,4459.0,4557.4,4589.2,4738.1,4819.2,4902.7,4986.9,5141.4,5295.0
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3015.7,3279.1,3330.8,3584.1,3790.6,3893.3,3914.4,3814.9,3772.2,3845.1,3879.2,4018.6,4093.8,4146.7,4207.8,4333.3,4465.2
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",108.6,113.9,118.1,114.4,113.9,88.0,92.4,104.1,100.2,102.8,104.3,107.5,150.1,112.4,96.9,134.6,(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.5,0.6,0.5,0.0,0.2,0.4,1.1,4.4,0.0,1.5,19.1,15.5,19.6,17.7,9.2,4.6,(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),0.1,0.2,0.2,1.1,(L),0.2,0.9,(D),(D),(D),0.1,1.5,(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",232.5,226.5,217.9,211.4,221.3,242.8,249.7,231.9,229.4,231.8,219.1,212.8,205.6,182.2,190.4,171.6,168.5
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",424.4,423.3,437.7,521.9,(D),(D),497.7,458.5,456.7,402.8,358.4,366.5,384.5,382.0,365.6,396.6,424.8
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),226.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),199.0,205.7,212.7,217.5,216.8
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",21.0,23.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33.0,31.0,35.0,29.6,(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",2.0,(D),(D),(D),14.0,(D),(D),(D),(D),(D),(D),(D),6.6,6.7,8.4,(D),(NA)
 "20020" ,"Dothan, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.3,0.6,(D),(NA)
