GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",13202.4,14155.9,15101.0,16318.9,17242.0,18184.8,19172.2,19668.6,20316.4,21389.0,21879.1,22327.9,22533.6,23332.3,24153.4,24896.4,25792.8
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",10214.5,10710.2,11432.3,12516.9,13255.2,13963.7,14528.4,14840.9,15052.8,15734.7,15804.1,16259.1,16444.4,17055.5,17727.7,18360.0,19169.3
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),73.4,36.7,13.8,16.8
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",30.0,7.2,76.0,104.2,77.9,83.3,58.6,93.3,66.0,14.0,72.8,77.3,114.8,63.5,27.1,4.2,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.9,9.7,9.6,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.8,27.1,39.4,50.9
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.4,0.4,0.4,0.0,0.0,(L),2.4,5.3,0.0,0.5,1.1,1.1,7.3,9.8,4.7,2.1,(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26620" ,"Huntsville, AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
