GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",6630.7,6800.3,7280.0,7873.3,8618.8,9335.9,9160.8,9438.6,9038.2,9629.2,9794.9,9871.3,10097.0,10362.1,9968.2,9894.0,10061.0
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",5964.1,6105.0,6517.0,7063.6,7723.8,8384.4,8146.5,8380.5,7921.9,8442.0,8589.3,8667.4,8877.8,9123.1,8694.2,8602.3,8752.4
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),253.6,(D),(D),(D),(D)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",113.6,114.5,79.7,146.3,128.1,74.3,59.2,102.0,44.5,193.3,202.7,206.8,241.6,192.1,245.7,220.5,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.1,(D),(D),(D),(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),121.3,(D),(D),(D),591.0,624.7,411.4,398.9,565.2,459.4,580.1,725.4,(D),173.6,190.0
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),244.7,(D),(D),56.3,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.3,41.3,43.9,42.0,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),390.9,277.0,279.5,(D),(D),301.2,(D),164.4,75.2,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",110.6,98.0,110.9,121.9,122.0,144.3,136.6,142.3,145.5,160.2,168.9,155.1,159.5,162.5,167.0,176.3,198.1
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",309.9,300.8,317.5,321.9,355.8,372.2,398.1,391.6,402.9,402.5,376.7,365.8,335.5,327.4,342.5,350.5,350.2
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1686.7,1897.9,2096.8,2187.3,2335.1,2509.7,2074.2,1845.4,1736.8,1872.7,1827.0,1701.5,1766.6,1819.0,1770.1,1860.9,1838.6
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",982.9,(D),(D),(D),(D),(D),1290.6,1087.5,847.5,931.9,983.6,(D),778.0,795.6,732.7,760.8,792.7
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.4,24.5,21.3,20.9,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70.0,76.6,53.7,(D),(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),40.4,37.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),119.0,115.5,(D),(D),(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),153.5,(D),(D),(D),(D),(D),(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),158.8,147.7,159.5,155.1,(D),131.6,134.0,(D),(D),(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),3.8,4.0,4.6,6.6,6.5,(D),7.0,7.8,7.0,7.0,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),252.1,239.7,202.0,197.5,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.0,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),0.6,2.1,0.7,(NA)
 "22900" ,"Fort Smith, AR-OK (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),54.4,48.0,34.6,(D),(D),(D),(D),(D),30.5,57.3,(NA)
