GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2789.7,2801.2,3089.8,3304.0,3450.6,3643.6,3726.4,4010.5,4125.9,4395.8,4477.6,4606.5,4781.0,4777.9,4966.5,5152.6,5292.2
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2463.7,2457.4,2721.1,2908.0,3024.1,3190.3,3247.2,3518.8,3622.4,3860.7,3933.9,4043.9,4206.3,4190.8,4371.7,4544.2,4673.0
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),279.3,(D),219.8,(D),(D),(D)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",88.5,52.1,173.3,198.1,130.0,169.5,141.7,173.4,207.5,245.1,247.6,202.4,312.0,152.7,92.1,149.4,(NA)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),76.9,(D),67.1,(D),(D),(NA)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.2,(D),(D),(D)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.6,0.6,0.8,0.4,0.5,0.1,(L),4.7,3.5,6.3,1.7,0.3,1.2,3.5,0.5,1.7,(NA)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8.6,(D),(D),(NA)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(L),0.0,0.0,0.0,(D),(D),(D),(D),0.1,(D),(D),(D),0.1,0.2,(D),(NA)
 "27860" ,"Jonesboro, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",27.2,26.2,(D),(D),(D),(D),(D),(D),(D),45.2,45.4,41.3,43.2,44.3,45.6,49.0,46.9
