GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",22200.3,22589.1,23954.7,25428.2,27162.3,29249.4,32684.0,32630.6,33218.5,33784.1,34339.2,35403.0,35050.3,36156.0,37283.6,37834.3,38874.4
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",18589.2,18798.4,19907.0,21101.4,22553.8,24353.2,27605.1,27311.8,27612.2,27952.9,28354.4,29309.0,28832.0,29875.7,30971.1,31469.7,32428.1
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),211.3,165.8,141.3,145.5,139.9
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",72.3,60.5,98.5,130.0,72.6,99.2,100.9,101.7,96.0,84.3,68.1,87.0,176.9,125.8,104.5,108.6,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.4,39.9,36.8,36.8,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),782.5,915.3,672.2,403.0,377.9
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),83.3,57.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),193.8,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.3,0.1,0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),150.1,148.9,109.7,(D),(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),829.5,(D),(D),(D),(D)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1065.0,1047.8,1123.1,1218.1,1344.5,1437.6,1519.2,1439.6,1290.2,1277.5,1254.8,1352.5,1270.8,1280.8,1362.0,1433.0,1443.8
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1905.0,1942.1,1922.8,2082.2,2226.2,2508.8,2562.3,2554.4,2215.1,2192.4,(D),(D),2607.3,2696.6,2870.0,2823.7,2937.7
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",1114.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1604.8,1651.1,1781.0,1744.3,1773.5
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),85.0,70.4,68.0,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),72.7,76.7,75.7,83.7,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),138.4,(D),148.3,157.1,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),463.5,496.8,550.5,(D),(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),195.1,214.3,241.7,220.0,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),192.9,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",36.4,44.3,(D),28.7,35.6,38.5,34.6,26.9,20.3,16.3,20.7,(D),(D),(D),(D),6.8,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.0,27.9,33.2,(D),(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),325.9,302.4,360.1,(D),(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),59.9,80.1,85.1,80.5,(NA)
 "30780" ,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.4,23.6,23.6,(D),(NA)
