GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",126657.9,132517.3,141502.7,151546.2,169603.8,186247.5,196302.8,191628.3,177614.9,180085.8,186383.3,195629.6,199870.6,209595.9,221570.1,231011.3,242950.6
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",114179.6,119215.3,127200.9,136313.3,153153.4,168504.4,177390.1,171220.2,157712.1,159625.5,165801.8,174517.9,178388.7,187931.2,199452.0,208423.7,219583.6
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",666.8,(D),776.1,1031.4,845.5,771.4,851.8,705.6,345.8,464.1,787.2,754.5,936.2,1010.0,637.9,687.4,658.4
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",530.2,524.5,642.8,928.3,752.8,680.9,753.8,621.8,259.7,382.9,684.4,634.8,821.3,903.1,523.7,566.7,(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",136.6,(D),133.3,103.0,92.7,90.5,98.0,83.8,86.1,81.2,102.8,119.7,114.9,106.9,114.2,120.7,(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",215.9,219.8,194.3,401.8,1043.5,1893.1,2280.2,2330.7,1984.0,1932.0,2258.5,2387.3,2059.1,2430.4,2002.1,1944.7,2359.6
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),1.3,1.2,9.7,13.1,21.1,13.1,12.2,(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",205.1,204.5,(D),(D),(D),1866.2,2251.9,2280.4,1947.8,1886.7,2217.4,2318.4,2001.9,2339.2,1919.0,1873.6,(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),44.0,39.9,59.2,44.1,70.0,70.1,58.9,(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",2627.5,2569.0,2652.4,2833.6,2935.8,3473.0,3848.0,3941.1,4186.5,4255.9,4341.6,3834.6,3840.6,3930.5,4085.9,4264.6,4347.6
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",8527.9,8669.7,9529.5,11481.0,14839.7,17720.9,17797.9,13649.9,8683.8,7647.3,6958.9,7578.1,8499.8,8701.2,9626.1,10676.0,11686.7
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",17020.6,17778.8,19716.9,16604.9,15705.8,17239.6,18028.1,16797.2,14984.2,15731.7,16660.9,17728.9,15848.9,17632.8,19138.3,19153.6,19906.4
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",14703.4,15637.4,17643.3,14568.3,(D),(D),(D),(D),(D),12311.8,13178.3,14353.6,13016.4,14442.7,15466.1,15211.7,15817.9
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),219.8,255.2,289.5,373.2,344.5,278.9,221.8,152.1,(D),115.4,(D),127.3,198.5,(D),(D),(NA)
 "38060" ,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",525.0,510.0,499.6,546.2,721.6,930.7,1113.3,644.9,409.2,406.7,369.0,433.0,460.9,566.9,515.2,579.7,(NA)
