GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",18813.7,19686.2,20256.4,21358.1,23010.9,23441.2,24279.0,24252.9,25381.2,26784.8,27721.4,28396.7,28790.5,28779.2,30077.0,31114.3,32683.1
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",14104.7,14604.6,14925.2,15816.7,16896.3,17181.3,17776.5,17496.0,18192.9,18969.5,19587.6,20253.9,20806.3,20577.6,21724.4,22778.0,24192.8
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),19.5,(D),(D),7.1,5.3,5.9,6.2,14.5,13.0,11.2,6.3,9.8,7.3,11.9
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",9.1,7.1,2.9,17.0,9.5,5.1,0.0,0.0,0.0,0.0,1.7,0.0,0.1,0.5,2.9,0.0,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),2.5,(D),(D),7.1,5.3,5.9,6.2,12.9,13.0,11.2,5.8,6.9,7.3,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),188.3,216.6,(D),(D),(D),(D),(D)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),39.3,24.8,26.1,21.9,25.6,46.9,(D),(D),(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.5,7.3,3.8,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",214.7,176.3,166.5,(D),168.0,166.4,207.7,229.7,273.7,307.9,334.4,564.6,223.0,212.4,227.1,278.6,279.6
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1121.0,1081.4,1110.0,1243.4,1354.1,1424.6,(D),(D),1024.2,(D),924.3,1024.2,1256.5,1439.8,1575.1,1693.7,1874.2
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),(D),1618.2,(D),(D),1645.2,1831.1,(D),(D),(D),(D),(D)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1444.7,(D),1364.4,1424.7,1347.1,1288.0,1563.7
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",64.2,52.9,(D),56.0,58.4,63.0,63.1,47.7,37.7,(D),(D),(D),52.8,58.1,68.9,84.7,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",2.3,(D),3.7,(D),4.7,6.4,4.8,(D),(D),(D),(D),(D),4.1,(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),163.1,(D),(D),(D),(D),(D),(D),223.2,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",40.5,49.9,38.6,37.3,29.1,33.2,41.4,59.0,59.9,70.0,82.7,(D),68.7,80.4,70.8,64.6,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),997.5,1142.9,1136.5,805.4,700.0,777.9,(D),(D),(D),(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),23.3,19.1,13.7,12.9,15.4,(D),17.4,(D),19.7,20.2,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.4,19.0,27.5,27.9,(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.9,32.2,32.1,(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),28.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),159.1,177.0,177.9,187.4,180.8,258.9,254.2,237.5,(D),229.6,271.8,(D),(D),(NA)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),190.3,(D),(D),211.2,(D),(D),(D),229.0,200.5,(D),(D),(D),(D),(D),(D)
 "17820" ,"Colorado Springs, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",40.2,46.6,(D),(D),(D),(D),(D),(D),(D),60.9,(D),58.2,67.6,62.4,58.5,65.9,(NA)
