GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3134.2,3375.8,3566.9,3671.7,4132.5,4595.4,5228.3,5695.7,5277.1,5046.3,5045.3,5159.2,5179.4,5374.2,5293.4,5246.4,5579.2
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2668.7,2871.7,3034.2,3115.2,3548.4,3991.1,4609.7,5011.7,4568.6,4343.8,4360.3,4467.7,4486.0,4645.2,4539.7,4467.7,4776.2
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",25.3,29.8,22.1,34.1,36.6,34.1,26.8,22.2,15.8,22.7,(D),33.6,21.8,45.9,38.9,21.9,22.3
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",20.1,24.9,17.3,28.3,30.5,25.4,18.9,14.5,8.8,15.6,28.2,25.7,14.3,37.7,32.4,14.9,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",5.2,4.9,4.8,5.8,6.1,8.7,7.9,7.6,7.0,7.1,(D),7.9,7.4,8.2,6.5,7.0,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",127.2,133.3,182.6,120.2,212.4,406.4,608.8,830.6,511.2,473.5,568.4,562.5,496.9,589.9,386.5,267.5,382.7
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",98.0,107.3,149.3,40.3,68.8,85.0,73.4,115.6,70.5,63.3,72.9,(D),113.3,137.6,90.2,73.4,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,1.3,8.6,18.5,18.7,22.1,17.3,20.3,18.8,12.5,(D),3.4,0.0,0.0,0.0,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",29.1,26.0,32.1,71.4,125.1,302.7,513.3,697.7,420.4,391.4,483.1,(D),380.1,452.3,296.3,194.1,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",43.0,42.3,42.5,41.6,44.7,43.0,52.8,52.9,65.8,72.4,73.0,69.9,72.2,71.0,71.5,75.7,77.8
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",300.4,313.6,314.8,327.7,376.3,422.5,473.1,511.9,453.5,330.1,292.4,275.7,322.0,355.8,423.9,465.3,476.1
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",213.9,215.9,217.3,234.9,268.4,266.6,276.0,281.4,255.9,252.0,241.8,253.5,278.6,276.5,278.3,267.2,290.0
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",145.2,148.0,151.4,167.8,183.0,175.0,182.4,178.0,146.0,144.1,137.3,139.5,168.1,163.3,163.0,161.0,(D)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",4.0,3.5,2.9,5.6,7.5,6.8,7.5,6.6,5.4,5.0,3.5,(D),3.3,3.5,4.2,4.1,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",40.4,28.9,31.9,39.5,41.5,46.0,45.0,41.3,33.6,31.0,26.2,(D),32.3,29.3,37.0,37.7,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",18.1,26.0,23.9,26.2,38.0,44.6,54.1,51.5,41.2,34.0,30.0,(D),44.4,47.9,41.2,40.7,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",24.6,28.0,24.6,28.5,34.6,35.5,36.4,39.2,28.5,32.8,34.7,(D),34.7,31.2,28.3,26.9,(NA)
 "24300" ,"Grand Junction, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",19.2,23.9,26.2,29.0,14.4,12.7,13.0,11.5,11.8,12.1,12.2,(D),30.7,20.1,14.0,12.1,(NA)
