GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",11781.4,12371.8,13049.9,13986.9,15292.3,16238.6,16850.3,17386.4,17116.4,17134.1,17189.8,17664.4,18448.7,18592.1,19611.2,20338.4,21154.5
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",10392.1,10932.1,11518.9,12343.6,13691.0,14520.2,14882.5,15389.9,15053.3,15006.3,15112.1,15524.5,16309.5,16491.7,17503.7,18117.7,18865.8
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",278.1,307.3,(D),(D),(D),442.8,363.3,345.0,367.1,435.5,446.7,381.2,360.6,335.9,346.6,326.7,297.3
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",159.1,184.0,173.7,170.9,224.2,255.4,171.2,161.7,188.6,247.3,265.4,202.2,176.2,151.4,147.0,124.9,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",119.0,123.3,(D),(D),(D),187.4,192.1,183.3,178.5,188.2,181.3,179.0,184.4,184.4,199.6,201.8,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",237.1,246.1,(D),(D),(D),126.4,226.8,636.7,519.4,462.2,584.8,667.0,10.7,481.8,356.7,325.9,260.6
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),0.0,(L),(L),0.1,0.0,0.0,0.1,0.3,0.6,0.1,0.1,(L),(D),(D),(D),(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",235.2,(D),(D),(D),(D),(D),226.6,632.2,513.7,453.1,(D),(D),(D),(D),(D),(D),(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),0.3,4.4,5.5,8.5,(D),(D),(D),9.2,8.0,6.6,(NA)
 "29460" ,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",165.7,182.7,198.7,282.1,264.3,309.8,320.2,311.1,337.9,297.8,266.8,242.2,270.9,334.4,339.9,349.8,340.1
