GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",187604.5,197231.5,206547.2,222851.4,248624.4,263864.6,270390.1,261594.7,244409.2,250428.6,254342.7,266563.4,268198.5,292308.5,315623.5,330784.1,344881.7
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",167724.0,176256.8,184348.9,198776.4,224551.6,238922.9,242335.4,232656.0,214812.6,220664.0,225149.4,237210.0,238489.5,262056.3,284954.3,299260.2,312473.2
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1167.4,1143.2,1195.7,1162.5,1186.4,1252.0,1291.8,1286.9,1274.2,1366.8,1196.8,1142.9,1182.5,1097.6,1231.0,1404.5,1308.8
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",976.9,957.7,1013.4,958.3,987.0,1008.0,1080.1,1077.7,1050.5,1147.6,972.3,891.6,926.6,817.3,923.2,1091.2,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",190.5,185.5,182.4,204.3,199.4,243.9,211.7,209.2,223.7,219.2,224.6,251.2,256.0,280.3,307.8,313.3,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",107.7,118.4,223.5,372.0,682.2,652.6,578.1,232.7,169.4,170.4,218.0,245.6,1623.1,81.6,107.9,249.3,367.2
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.8,0.0,9.4,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",51.4,(D),(D),(D),(D),(D),(D),200.7,157.4,145.5,186.6,(D),1575.3,65.3,102.0,217.9,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.5,5.8,22.0,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),3128.0,3766.3,4033.6,4332.6,4726.3,4298.9,4189.2,3920.4,3859.0,3957.4,4175.2,4527.4,4935.1
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",10312.5,10999.9,12100.5,14577.7,17206.8,19115.9,18103.5,14223.6,10620.6,11130.6,10866.7,8570.9,8390.4,10832.5,13144.4,14930.8,15730.5
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",8537.9,8534.8,8336.8,8687.9,9262.3,10275.7,10917.0,9529.5,8986.8,8630.8,8574.7,8735.0,9466.2,9891.9,11373.1,11931.5,12093.6
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",5216.8,5223.2,5202.9,5613.1,6328.2,7139.6,7799.7,6353.2,5731.6,5235.8,5028.5,4996.9,5334.3,5753.3,6175.0,6410.3,6527.2
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",139.5,140.4,140.6,150.4,194.9,193.8,153.4,113.1,90.4,(D),(D),(D),107.4,94.9,107.5,111.6,(NA)
 "33100" ,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",487.7,514.7,512.9,573.0,749.2,1090.0,1312.3,558.6,415.0,361.5,336.8,(D),582.5,630.9,734.5,759.1,(NA)
