GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",11933.1,12400.2,12303.2,12766.5,14324.2,15335.4,15303.3,13761.9,12582.6,12885.3,13057.5,13611.8,13977.1,15283.6,16791.4,17654.2,18236.4
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",11289.1,11683.8,11518.8,11896.7,13453.4,14405.1,14207.9,12667.5,11474.0,11748.6,11925.0,12436.5,12809.3,14086.9,15588.8,16389.8,16933.4
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",316.1,331.3,337.4,342.0,372.2,370.0,380.9,383.6,370.0,379.3,357.1,347.3,371.9,323.6,335.0,347.5,341.8
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",229.2,255.0,263.7,266.1,295.9,283.3,297.6,301.7,282.2,284.7,253.7,234.1,241.0,186.8,176.7,186.6,(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",86.9,76.4,73.7,75.9,76.3,86.8,83.3,81.9,87.8,94.6,103.4,113.2,130.9,136.8,158.3,160.9,(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",5.7,6.8,6.1,12.5,25.1,28.5,17.0,3.6,4.6,0.5,6.2,5.4,170.0,5.1,1.5,23.7,63.4
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",3.2,4.3,3.8,9.2,(D),24.0,13.2,0.0,(D),(D),0.0,(D),164.0,(D),(D),(D),(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.0,(D),(D),(D),(D),1.5,3.5,(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",72.0,94.0,105.6,137.7,124.6,136.3,133.1,128.4,135.4,118.4,114.2,95.6,92.1,98.0,97.3,94.1,97.2
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1036.9,1119.5,1235.6,1506.0,2007.9,2401.9,2062.5,1340.7,1067.4,1157.7,1179.5,986.6,724.3,1127.4,1457.6,1706.9,1765.0
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",191.6,202.2,227.9,229.9,292.4,287.1,312.3,244.7,261.5,241.5,259.9,294.1,338.5,370.9,412.5,445.0,458.6
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",155.1,161.8,186.4,(D),250.6,245.6,260.7,192.5,207.4,181.2,197.2,217.9,257.2,292.9,291.2,328.2,330.3
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",6.5,5.9,6.7,8.3,12.7,10.1,7.6,4.7,2.2,3.2,4.9,(D),5.9,7.6,8.0,9.1,(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",62.0,67.8,68.4,67.7,103.8,87.1,75.8,28.1,19.0,14.9,13.1,(D),22.0,27.7,31.6,35.8,(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),2.0,1.7,(D),(D),3.3,0.6,2.5,3.8,(D),(D),(D),1.1,(D),(NA)
 "34940" ,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",19.5,21.2,18.2,16.6,24.3,22.5,23.7,16.3,17.0,15.1,17.7,(D),25.4,26.5,25.8,27.4,(NA)
