GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",15992.9,17718.9,19556.8,22094.3,25241.4,26504.3,26298.2,24320.0,22922.7,22705.7,23035.5,23688.4,24475.7,26263.7,28613.5,30004.3,31196.6
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",14568.6,16195.9,17901.0,20283.8,23438.2,24568.4,24087.7,22089.2,20663.6,20423.4,20783.2,21384.8,22158.9,23909.1,26232.6,27613.0,28734.7
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),362.7,(D),(D),(D),422.6,(D),445.6,388.4,360.0,353.9,321.6,312.8,(D),(D)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",263.3,277.4,299.6,307.2,359.7,346.2,356.0,349.4,325.5,369.1,310.4,272.6,269.7,237.2,225.1,241.3,(NA)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),55.5,(D),(D),(D),73.3,(D),76.5,78.0,87.4,84.2,84.4,87.6,(D),(NA)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),12.6,(D),(D),(D),31.5,(D),4.1,5.4,29.6,8.1,38.6,51.6,(D),(D)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.2,0.2,0.5,0.5,0.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),1.0,(D),(D),(D),(D),(D),(D),(D),7.7,(D),(D),(NA)
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",207.8,(D),269.0,447.6,425.1,498.2,550.9,443.3,475.5,464.3,469.9,441.1,442.0,448.2,448.0,428.5,420.7
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1546.6,1823.0,2022.2,2617.8,3153.1,3458.7,2834.9,2180.4,1618.7,1386.7,1403.7,1151.4,1174.6,1573.4,1963.2,2246.8,2426.2
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1300.8,1360.4,1428.5,1556.6,1631.4,1754.6,1699.0,1476.8,1386.3,1351.3,1421.8,1519.0,1696.4,1726.0,1970.6,2009.4,2008.4
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",789.1,(D),917.1,1023.7,1190.9,1249.0,1175.1,955.7,822.6,758.0,768.4,845.1,947.4,1005.6,1129.4,1168.7,1258.2
 "35840" ,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",14.7,33.7,36.8,38.1,58.1,51.2,29.7,22.1,17.3,25.0,22.1,18.2,21.1,19.1,23.2,21.2,(NA)
