GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",1250.5,1380.2,1487.9,1639.2,1774.7,1956.3,1954.2,1880.5,1876.3,1902.0,1920.5,1988.6,1975.4,1904.1,1989.8,2017.5,2090.3
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1053.7,1176.0,1272.4,1403.5,1547.4,1713.2,1671.8,1591.7,1581.7,1605.4,1627.7,1689.7,1678.2,1605.8,1695.4,1717.6,1781.6
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),251.1,260.3,271.1,232.2,240.0
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",87.1,95.2,93.1,102.6,132.8,175.2,146.1,163.0,170.5,197.3,198.5,217.2,176.2,182.9,189.4,148.2,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),74.9,77.4,81.7,84.0,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,(L),0.0,(L),(L)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),0.0,(L),0.5,0.3,(L),(L),(L),(L),0.0,(L),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.0,0.0,(L),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(L),(L),0.0,(L),0.0,0.0,0.0,0.0,0.0,(L),0.0,(L),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",30.2,30.8,35.4,44.1,47.8,54.3,47.6,44.6,51.4,41.8,77.0,107.6,105.4,40.9,38.7,39.4,44.7
