GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",8345.1,8699.8,9262.2,9597.8,9946.5,10324.4,10594.0,11033.9,11605.3,12146.9,12553.4,13047.4,13369.4,13492.4,13762.2,13474.4,13820.6
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6249.9,6471.9,6890.4,7118.7,7176.0,7361.9,7513.4,7769.4,8100.4,8500.0,8645.3,8933.0,9354.3,9655.6,9828.1,9826.3,10090.0
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),61.0,51.9,46.6,45.7,47.4
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",24.2,20.8,27.6,26.7,23.8,22.4,15.2,24.7,24.7,24.4,23.2,30.4,43.4,33.6,29.3,28.0,(NA)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.6,18.3,17.4,17.7,(NA)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.4,(D),(D),(D)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.1,0.1,0.0,(L),(L),0.1,0.1,(L),(L),0.3,0.2,(L),0.0,0.0,0.2,(NA)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.4,(D),(D),(NA)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),0.0,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.1,(NA)
 "17980" ,"Columbus, GA-AL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),97.7,108.5,114.1,(D),121.9
