GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4909.9,5017.3,5363.8,5622.5,6140.7,6231.5,6456.5,6529.9,6459.8,6427.3,6947.8,7118.8,7185.3,7827.8,8659.8,9202.0,9695.9
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",4462.1,4533.5,4833.2,5069.6,5551.6,5613.9,5796.2,5876.1,5786.8,5736.3,6255.4,6419.3,6483.8,7117.4,7887.1,8405.4,8868.6
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),39.9,(D),(D),(D),28.2,24.7,31.9,22.1,13.1,3.8,29.5,(D),(D),(D),(D),(D)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",62.8,36.8,40.5,69.0,55.3,23.7,20.8,28.5,18.6,9.2,0.0,25.9,29.5,39.6,33.2,17.6,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),3.0,(D),(D),(D),4.5,4.0,3.4,3.5,3.9,3.8,3.7,(D),(D),(D),(D),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),8.0,(D),(D),(D),9.8,10.6,9.4,9.3,8.8,8.1,6.8,(D),(D),(D),(D),(D)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,(L),0.0,0.0,0.0,0.0,0.0,(L),(L),(L),0.0,0.0,0.0,0.0,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),8.0,(D),(D),(D),9.8,10.6,9.4,9.3,8.8,8.0,6.7,(D),(D),(D),(D),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",41.5,40.9,40.9,43.2,47.2,52.2,49.6,50.2,50.3,52.0,57.1,52.0,49.0,52.6,53.9,58.9,66.1
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",289.4,298.7,327.4,355.2,400.5,455.7,426.5,341.8,274.4,222.3,212.9,210.3,241.6,295.9,370.6,452.0,501.9
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1701.1,1706.5,1714.2,1706.7,1776.6,1681.6,1772.2,1758.4,1927.2,1806.8,1900.2,1958.4,2084.0,2296.8,2457.8,2581.3,2706.3
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",549.0,533.3,536.2,566.3,541.9,580.9,(D),602.5,(D),499.0,574.9,642.3,697.2,765.8,783.7,818.4,893.9
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",40.0,38.6,45.9,47.9,42.8,40.5,32.1,20.3,5.5,5.7,6.9,(D),12.1,20.7,20.6,21.7,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",20.5,21.2,24.0,22.4,21.8,25.5,30.6,23.5,20.4,18.2,20.3,19.6,16.6,13.0,19.9,20.0,(NA)
 "23580" ,"Gainesville, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",36.5,33.3,40.7,43.3,37.4,5.4,54.2,88.1,26.4,26.7,39.8,47.5,44.5,43.5,46.2,53.1,(NA)
