GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",7202.6,7426.8,7804.9,8383.9,8343.3,9095.8,9314.1,9165.1,9636.3,9998.7,10259.4,10753.1,11248.7,11673.6,12052.9,12445.8,12369.6
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6498.4,6674.2,7006.4,7548.5,7465.5,8161.5,8336.4,8139.4,8568.8,8865.1,9105.5,9586.2,10074.9,10481.1,10863.6,11258.3,11160.8
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),202.8,108.4,179.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",74.5,126.5,119.5,177.7,80.7,149.5,220.5,306.3,234.5,244.4,393.4,291.4,487.1,348.8,138.3,261.1,(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),25.1,27.7,30.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),0.0,(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.0,0.0,(L),0.0,0.0,0.0,(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",310.8,323.7,308.4,303.2,314.1,315.9,319.8,294.9,304.9,319.9,340.8,282.0,309.5,308.4,339.1,324.5,325.1
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",715.1,804.9,785.1,761.8,627.5,606.6,536.4,546.4,432.0,484.9,477.2,558.6,579.6,592.8,616.4,476.9,387.2
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),398.2,365.6,282.9,303.1,191.6,248.2,241.3,291.4,302.8,313.2,330.6,202.4,118.0
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",2.8,3.3,3.7,3.2,5.2,3.1,1.8,1.9,1.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.5,1.6,1.7,1.8,1.9,(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),0.6,(L),0.2,(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),1.1,2.6,4.8,4.5,5.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",5.5,3.5,3.6,4.2,6.1,7.5,13.6,14.4,15.6,15.6,16.3,13.6,16.8,(D),(D),(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.0,(D),(NA)
 "14010" ,"Bloomington, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),183.3,190.4,214.1,92.9,(NA)
