GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2883.3,3074.4,3184.5,3328.8,3533.8,3774.7,3872.9,4060.3,4267.8,4467.0,4605.9,4954.0,4781.9,4855.1,4966.8,5094.1,5287.6
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1991.8,2129.6,2242.7,2332.9,2465.6,2671.0,2717.2,2861.6,3019.4,3125.7,3260.4,3604.0,3435.4,3483.0,3579.8,3733.1,3907.2
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),79.8,62.3,51.5,38.2,32.9
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",7.4,1.8,6.0,22.9,9.7,15.3,7.8,33.4,13.6,27.3,38.0,28.8,78.6,60.8,49.6,35.2,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.2,1.5,1.9,3.0,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),307.1,281.6,293.4,331.7,432.6
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),0.1,0.1,0.2,0.1,0.5,1.9,(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),297.7,273.1,288.5,328.0,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",92.1,90.9,94.8,92.0,89.1,101.7,120.2,125.0,149.1,135.0,136.1,137.5,(D),144.3,147.0,155.1,161.6
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),(D),(D),(D),188.0,178.9,173.8,180.4,197.9,238.7,(D),197.0,194.8,192.6,206.7,198.0,187.6
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",232.5,263.7,287.0,298.2,309.3,345.8,276.4,252.2,218.8,228.4,242.1,289.1,312.2,343.8,375.8,433.2,448.4
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",139.1,170.6,189.5,210.0,219.1,251.7,(D),(D),(D),(D),(D),(D),206.8,229.8,260.6,317.2,337.3
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.2,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",4.0,(D),(D),(D),(D),(D),(D),6.7,8.3,7.9,7.5,7.0,6.7,(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",33.0,32.4,32.5,35.0,37.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),6.5,(D),7.6,(D),14.7,17.0,16.3,9.4,7.9,9.0,12.8,(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.2,33.9,(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.8,7.1,7.8,(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,0.0,(L),(L),0.1,(D),(D),(D),(D),(D),(D),1.4,1.7,1.2,(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),0.1,0.1,0.2,0.1,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",8.3,10.5,7.8,9.6,8.9,9.5,7.3,6.7,(D),7.3,10.9,8.2,(D),7.9,(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",93.4,93.2,97.5,88.2,90.2,94.2,(D),(D),(D),(D),(D),(D),105.4,114.0,115.2,116.0,111.1
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),54.1,(D),(D),(D),42.6,48.6,63.8,(D),(D),(D),(D),54.9,64.6,63.7,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),2.0,(D),(D),2.4,2.1,2.4,2.7,3.4,(D),3.7,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",1.7,1.6,1.7,1.5,1.5,1.7,1.9,1.8,1.5,1.4,1.5,1.7,1.9,2.2,2.4,2.2,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",0.1,(L),0.1,0.2,0.2,0.6,(L),0.9,2.9,2.2,10.8,21.6,11.8,10.6,1.5,3.8,(NA)
 "16060" ,"Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.3,(D),(D),(NA)
