GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2005.1,2036.8,2209.9,2323.3,2340.4,2460.5,2426.7,2523.4,2557.2,2649.0,2804.0,2825.4,2867.6,2844.4,2842.2,2905.0,2904.4
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1656.7,1669.5,1822.0,1914.0,1928.3,2038.2,2016.9,2104.8,2128.4,2203.6,2361.2,2371.2,2410.6,2385.1,2374.4,2434.8,2430.1
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",33.6,42.0,61.1,79.3,26.9,68.3,86.0,148.2,110.6,140.5,189.1,141.9,241.3,163.6,98.7,152.0,(NA)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.1,0.1,0.2,0.2,0.3,0.5,1.0,0.2,0.2,0.2,0.7,0.7,(NA)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,(L),(L),(L),0.0,0.0,(L),0.0,0.0,0.0,0.0,0.3,(NA)
 "19180" ,"Danville, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",18.4,20.2,26.0,26.4,28.2,30.9,39.0,40.5,44.3,45.8,54.6,51.2,50.8,49.3,42.3,36.4,37.6
