GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",11740.9,11920.2,12624.3,13796.0,14926.6,16463.9,17493.0,18180.9,18004.8,18407.2,20415.7,22407.9,19767.6,20208.1,19821.2,19800.6,18982.8
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",10670.3,10761.2,11406.5,12520.4,13595.2,15091.5,16061.1,16719.9,16500.7,16830.7,18832.7,20819.3,18162.4,18559.6,18167.1,18132.8,17291.6
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",98.7,124.9,171.2,242.0,96.6,145.4,270.8,396.0,322.3,240.3,459.5,312.6,477.2,287.2,105.7,179.1,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),24.1,18.0,(D),(D),(D),(D),(D),(D),(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.5,0.7,0.6,0.7,1.0,0.8,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,0.3,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),283.4,265.8,267.6,300.0,367.1,385.9,(D),437.3,425.3,441.2,441.3,(D),434.6,471.5,(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),623.2,667.2,696.7,772.9,814.8,920.7,906.1,859.1,864.1,880.1,848.2,805.9,834.6,871.0,889.3,845.5
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",3066.8,2909.1,2980.5,3539.6,4242.5,5015.0,5343.4,5368.6,5027.8,5267.9,6638.8,8286.3,6006.4,6387.3,5449.8,5037.8,4564.6
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5443.6,5774.2,(D),(D),(D)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),40.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.7,22.6,26.2,15.9,(NA)
 "37900" ,"Peoria, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22.5,23.0,26.1,(D),(NA)
