GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",13957.0,14579.4,14964.3,15539.2,16391.3,16972.8,17620.0,17091.0,16464.5,17464.1,17897.3,18585.8,18795.0,19544.3,20735.1,21580.9,22358.3
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",12884.8,13465.8,13804.0,14314.0,15105.5,15476.7,16268.6,15680.4,15015.6,16010.5,16430.9,17121.7,17350.1,18030.8,19171.7,19988.6,20752.7
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",38.6,23.6,71.4,104.0,53.0,75.3,81.6,121.0,136.5,82.8,150.6,209.1,274.3,201.5,118.2,157.6,(NA)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),0.1,0.2,0.6,0.1,0.3,0.3,0.6,0.4,0.4,0.2,0.1,(NA)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),0.1,(L),(D),(D),(D),0.0,0.0,(L),0.1,(NA)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),203.5,217.0,(D),(D),(D)
 "23060" ,"Fort Wayne, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",686.0,663.1,712.0,758.6,794.6,804.1,826.2,781.2,738.3,767.1,826.3,839.8,819.3,871.5,942.0,1010.5,1097.8
