GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3634.1,3977.5,4432.0,4197.6,4034.0,4141.0,4360.7,3512.0,2529.9,3618.1,3742.3,3851.1,4078.4,4288.9,4612.4,4682.9,4623.6
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3359.3,3687.1,4123.8,3862.2,3681.1,3711.5,3971.6,3109.5,2128.1,3216.9,3337.8,3493.8,3785.0,3980.0,4303.9,4369.5,4306.8
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",19.6,24.2,24.9,35.8,21.1,19.3,20.2,41.2,21.5,10.7,36.8,44.1,68.9,46.2,0.0,30.0,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),0.0,0.0,0.0,0.1,0.3,0.2,0.1,0.1,0.1,0.1,(L),(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),0.0,0.0,(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",49.9,46.8,47.2,50.5,50.2,53.2,49.7,48.3,45.0,49.7,52.3,46.4,49.3,47.2,49.7,53.6,54.1
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",91.4,85.4,79.2,69.2,72.3,63.1,67.2,67.4,49.1,50.6,54.6,73.5,76.3,83.6,82.4,90.1,87.8
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",2100.4,2386.3,2805.6,2525.0,2331.7,2381.6,2616.7,1752.1,831.2,1881.0,1959.6,2012.6,2224.7,2371.1,2735.5,2676.4,2546.4
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),2475.9,(D),2337.2,2583.2,1719.1,810.7,1863.4,1939.8,1994.2,2203.9,2349.6,2710.1,2647.3,2511.8
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),1.4,1.4,(D),(D),(D),(D),(D),(D),0.9,(D),1.1,1.4,1.4,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",21.0,23.1,24.2,24.2,23.8,21.9,20.7,10.3,5.7,4.9,5.4,5.3,6.5,9.4,(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),99.5,87.3,256.9,172.6,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",13.4,13.2,12.9,12.0,13.4,16.6,17.2,15.7,10.2,13.5,15.0,17.1,18.4,19.6,21.1,22.0,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",20.7,16.7,14.2,15.5,16.4,15.8,16.6,16.7,13.2,15.9,15.9,15.6,17.8,17.5,17.3,19.2,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",17.2,18.2,19.4,23.7,26.3,14.3,17.0,16.7,18.5,17.2,14.5,22.7,21.9,21.5,28.0,28.5,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),2268.6,2095.9,2166.3,2242.3,1474.4,669.9,1650.1,1749.7,1781.3,1976.0,2126.7,2462.4,2405.0,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),0.1,0.3,0.2,0.2,0.1,0.0,0.1,0.5,1.3,2.0,0.8,1.2,1.3,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",4.0,3.5,2.6,1.6,1.7,1.6,1.3,(D),(D),(D),(D),(D),2.2,1.7,(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",6.7,6.6,8.3,6.8,3.9,3.6,2.1,2.1,1.8,1.8,1.8,1.8,1.5,1.5,1.2,1.4,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),49.2,(D),44.3,33.4,33.0,20.5,17.6,19.9,18.4,20.8,21.5,25.4,29.2,34.6
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),10.8,10.7,13.2,12.8,(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",0.0,0.0,0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(L),(L),0.0,0.0,0.0,0.0,(L),(L),(L),0.0,0.0,0.0,0.0,(L),(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",0.0,0.0,0.0,0.2,0.3,0.1,(L),(L),0.2,(D),(D),(D),(L),(L),(L),0.0,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",4.8,4.9,4.9,5.0,5.1,6.0,5.9,5.7,4.8,4.8,4.9,4.4,4.7,4.8,4.3,3.8,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",0.7,0.1,0.1,(L),1.7,0.7,0.4,(L),0.1,0.1,0.3,0.1,(L),(L),0.0,0.0,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),0.1,0.9,0.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),(D),(D),(D),(D),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",78.3,81.4,85.8,92.3,103.6,104.9,117.6,115.7,107.9,114.3,119.8,123.5,126.2,125.5,135.5,130.2,143.2
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",209.3,213.7,225.4,232.7,236.1,230.9,232.8,235.3,218.6,222.0,218.5,229.8,237.1,245.2,243.7,253.8,260.9
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",33.8,32.7,37.2,42.8,46.6,46.5,42.6,45.1,47.9,50.0,52.1,54.2,55.5,54.5,58.1,65.4,67.5
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",0.0,0.0,0.0,0.0,(L),0.0,0.1,0.0,0.0,(L),(L),(L),0.1,(L),(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",3.9,4.1,4.4,4.8,5.7,6.7,6.7,7.5,6.5,6.9,7.6,8.1,9.3,9.0,10.0,9.7,(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.2,0.0,0.3,0.1,0.0,0.6,0.2,0.3,0.1,0.0,0.0,(L),0.1,(L),(L),(L),(NA)
 "29020" ,"Kokomo, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",17.0,16.4,19.3,21.8,24.1,23.4,21.1,22.2,22.3,21.6,23.5,25.4,27.6,27.1,27.3,35.1,(NA)
