GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3146.4,3212.4,3309.6,3305.9,3283.7,3407.5,3355.7,3338.1,3210.1,3303.1,3433.9,3648.4,3673.3,3691.8,3761.4,3876.2,3961.3
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2663.7,2712.4,2786.1,2765.2,2723.0,2731.8,2759.6,2726.7,2584.6,2672.8,2781.0,2972.4,3004.6,2970.9,3047.8,3148.9,3225.1
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",18.9,11.8,21.7,33.4,20.0,19.6,15.6,29.5,22.2,18.0,38.4,31.9,57.9,23.0,0.0,20.5,(NA)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),(L),(L),(L),(L),0.2,0.1,0.1,0.1,0.3,0.3,0.2,0.1,(L),(NA)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.0,(D),(D),(D),(NA)
 "34620" ,"Muncie, IN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",47.2,47.2,48.7,49.6,52.5,56.2,55.3,55.8,57.6,61.8,57.5,50.6,53.5,60.5,58.2,64.9,70.8
