GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2885.3,2911.6,2994.5,3279.6,3230.6,3195.1,3393.8,3563.3,3679.5,3730.7,3822.1,3801.5,3895.3,3997.1,4248.8,4437.4,4558.3
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2213.0,2207.7,2251.9,2495.3,2431.5,2353.2,2487.6,2601.0,2710.2,2742.6,2807.4,2737.7,2772.0,2826.0,3055.3,3241.1,3336.5
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),15.0,(D),1.2,3.8,11.9,32.0,18.9,32.4,22.5,55.6,36.2,37.3,43.2,38.6
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.0,0.0,0.0,14.5,2.6,0.0,2.8,10.6,30.3,17.3,30.9,21.0,54.3,34.9,35.8,41.4,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),0.5,(D),1.2,1.0,1.3,1.7,1.7,1.5,1.4,1.3,1.3,1.5,1.7,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),5.0,(D),3.5,3.4,5.1,3.9,1.8,1.5,2.0,7.0,8.7,6.5,4.4,5.8
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(D),(L),(D),(D),(D),(D),(D),(D),(D),0.6,1.0,1.2,1.1,1.0,0.5,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),65.7,73.8,74.1,(D),(D),(D),(D),(D),(D),64.2
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",132.8,131.8,146.7,157.6,167.2,156.8,142.9,138.8,131.7,130.3,142.7,142.4,137.0,140.5,152.3,163.3,179.9
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",278.4,341.5,336.8,346.3,344.4,328.6,352.1,374.3,396.7,385.8,330.7,350.1,390.3,374.6,428.3,470.6,508.7
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",143.9,156.6,165.2,158.5,157.3,122.9,129.9,111.7,89.7,91.4,99.3,102.7,110.3,117.8,129.5,148.4,170.2
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",0.2,0.0,0.1,0.0,(D),(L),(L),0.0,0.0,0.0,0.0,(L),(L),(L),(L),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",5.1,9.1,(D),(D),5.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",13.0,11.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",25.8,24.8,27.9,29.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",13.5,16.9,11.0,14.5,16.2,18.5,18.9,14.1,12.9,9.6,12.0,12.9,13.9,11.3,10.9,(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),10.2,11.6,(D),(D),8.5,7.6,6.1,6.8,12.7,8.9,9.7,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),12.6,17.8,18.0,14.7,17.2,25.7,31.4,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.4,(L),(D),11.5,(NA)
 "29940" ,"Lawrence, KS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",13.1,13.6,13.1,6.4,2.6,2.6,2.6,1.9,1.7,1.5,1.4,1.3,1.6,1.4,1.6,2.0,(NA)
