GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3486.7,3758.5,3801.4,4025.0,4428.1,4665.4,4882.4,4927.1,5076.0,5225.5,5340.8,5435.2,5485.8,5594.4,5758.9,6020.0,5991.6
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2774.7,2979.6,2964.8,3139.3,3492.3,3689.3,3914.1,3903.6,4021.6,4161.4,4267.7,4371.4,4444.3,4556.4,4679.4,4921.4,4882.6
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),88.3,75.7,108.6,88.9,85.1,87.9,(D),(D),49.1,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",21.9,21.1,31.9,28.3,28.5,38.7,44.7,26.5,46.2,52.3,48.1,50.8,56.5,35.9,26.8,14.2,(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),43.5,49.2,62.4,36.6,37.1,37.1,(D),(D),22.4,(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),30.2,48.1,52.7,56.1,(D),57.9,(D),(D),64.1,(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",4.8,3.1,3.3,2.2,4.5,9.7,9.9,17.3,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),5.8,(D),(D),(D),(D),(D),(D),(D),26.1,(D),(D),(D),(NA)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",187.8,120.5,(D),87.5,90.9,(D),(D),125.5,109.3,(D),117.4,(D),(D),(D),(D),(D),(D)
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",208.7,207.4,209.7,269.6,281.1,403.1,415.9,391.9,349.0,283.2,274.5,254.4,283.5,308.8,286.3,294.7,292.2
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",333.8,449.9,354.3,348.8,545.6,457.9,527.3,474.4,553.6,639.0,(D),725.8,640.5,675.7,710.8,754.1,705.1
 "10780" ,"Alexandria, LA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),284.6,304.9,326.8,(D),(D)
