GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2219.0,2357.3,2411.6,2434.1,2523.6,2514.6,2454.9,2585.9,2797.3,2895.0,2945.8,2990.4,3000.9,3049.1,3120.1,3195.4,3285.9
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1797.9,1906.4,1940.8,1952.9,2010.8,1976.3,1909.8,2000.8,2183.0,2256.7,2300.0,2346.5,2366.1,2420.6,2483.9,2539.3,2608.1
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),11.8,(D),(D),4.9,3.5,3.8,7.0,(D),(D),10.0,10.4,(D),(D)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",1.9,0.0,0.7,9.9,8.8,3.0,0.9,2.9,1.4,1.5,5.4,4.5,1.2,8.3,8.5,4.2,(NA)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),3.0,(D),(D),2.1,2.1,2.3,1.7,(D),(D),1.7,1.8,(D),(NA)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),60.3,(D),(D),14.9,10.8,29.6,30.6,(D),(D),23.6,16.2,(D),(D)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.2,0.2,0.2,1.0,1.5,0.1,0.1,(L),(L),(L),0.5,0.4,1.3,1.7,1.2,1.0,(NA)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.0,(D),(D),(D),(NA)
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",43.5,44.4,41.7,50.0,47.4,57.2,47.1,57.7,69.4,64.4,(D),(D),61.9,58.4,(D),(D),28.0
 "19060" ,"Cumberland, MD-WV (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",87.3,92.6,96.1,98.7,106.5,103.4,119.5,116.5,114.4,120.9,122.8,120.4,118.6,109.9,115.7,114.9,113.3
