GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",7118.7,7691.2,8302.8,8449.8,8548.4,8813.6,8864.2,9126.6,9180.6,9855.7,9940.8,10490.8,10658.2,10925.9,11366.1,11965.9,12567.6
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6530.0,7076.0,7656.3,7770.4,7836.9,8069.7,8097.5,8322.5,8352.3,8991.7,9089.6,9614.9,9761.7,10005.8,10403.1,10959.2,11538.6
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),352.0,255.1,250.4,173.7,164.9
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",76.2,60.4,91.5,187.0,195.2,173.6,204.0,256.9,148.0,242.1,409.7,441.8,334.2,236.9,228.6,151.5,(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.9,18.2,21.8,22.2,(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.1,18.7,4.3,30.6,24.8
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.4,0.1,0.2,(L),0.3,0.5,(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.1,(L),(L),(L),(L),(L),(L),0.0,(L),(D),(D),(D),(D),(D),(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),73.9,(D),(D),(D),(D),84.6,(D)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",388.0,412.4,470.4,520.2,516.4,506.2,503.4,410.8,372.1,364.1,377.2,390.0,409.7,441.3,483.7,516.8,542.2
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1271.1,1467.1,1586.1,1509.9,1449.5,1510.8,1401.2,1432.5,1368.2,1375.0,1469.7,1625.5,1671.9,1749.5,1789.0,1689.8,1724.7
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),1215.6,1341.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),1193.3,1183.8,1219.1,1164.5,1187.2
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.1,22.9,28.0,29.5,(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.7,19.4,20.2,19.6,(NA)
 "40340" ,"Rochester, MN (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",0.0,0.0,0.0,(L),0.5,0.8,1.0,(D),(D),(D),(D),(D),1.3,0.6,(D),(D),(NA)
