GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4820.5,4997.2,5143.6,5387.1,5737.4,6036.8,6115.3,6363.6,6600.6,6915.1,7230.9,7596.3,8128.1,8340.2,8657.8,8992.3,9284.4
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3383.0,3526.0,3667.0,3792.9,4040.9,4209.5,4204.1,4371.0,4531.3,4747.1,4993.9,5255.1,5701.2,5887.5,6126.7,6364.6,6608.7
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",8.8,(D),17.1,31.0,8.3,12.6,11.1,15.0,21.3,(D),32.3,15.2,38.9,37.7,29.1,32.2,26.2
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",6.7,6.8,14.4,28.0,5.6,9.4,8.0,12.2,18.3,20.1,29.5,12.5,35.9,34.9,25.3,27.5,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",2.1,(D),2.6,3.0,2.7,3.2,3.1,2.8,3.0,(D),2.8,2.7,2.9,2.8,3.8,4.7,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",12.8,(D),6.3,8.3,13.3,14.9,13.1,10.2,12.1,13.2,9.4,8.9,7.9,7.6,7.5,9.6,9.3
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),0.1,(L),(L),(L),(D),(D),0.1,(L),(L),0.0,0.0,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",12.7,(D),6.2,8.3,13.0,14.8,13.0,10.2,12.1,(D),(D),(D),(D),7.6,7.5,9.6,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.1,(L),0.3,0.0,(L),0.0,(L),0.1,0.1,(D),(D),(L),(L),0.0,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),55.2,58.5,62.7
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",209.0,230.6,250.2,271.8,298.1,296.3,285.3,248.5,220.1,218.0,214.2,240.0,263.9,268.4,267.1,272.1,261.4
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",405.7,361.3,449.3,442.2,433.1,415.6,405.7,348.4,345.2,381.7,376.5,389.0,546.9,538.4,541.4,534.2,591.7
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",273.1,243.6,321.0,307.3,307.4,300.5,280.1,222.9,212.1,255.4,251.2,252.6,285.8,275.1,375.7,370.1,414.1
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",1.2,1.0,1.2,1.3,1.6,1.5,1.3,1.4,0.8,0.7,1.1,1.7,(D),(D),1.3,(D),(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",8.5,10.5,10.3,12.8,16.7,16.9,14.8,13.7,12.0,8.7,13.3,11.1,11.7,11.7,11.5,13.5,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(L),0.1,(L),0.0,(L),(L),(L),0.0,0.0,0.0,(L),(L),(L),(L),(L),0.0,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",8.4,5.8,8.8,9.1,10.7,9.3,13.6,11.2,8.9,10.5,10.9,14.2,14.3,14.5,12.5,14.6,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",31.2,22.5,24.2,25.7,33.2,33.7,30.3,33.0,35.0,44.3,54.2,47.9,22.1,24.0,22.6,23.6,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",64.4,50.4,89.2,83.8,64.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),140.0,145.1,(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17860" ,"Columbia, MO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.1,0.2,0.1,0.1,0.1,0.1,(L),0.0,0.0,0.0,(L),(L),0.2,0.0,(L),(L),(NA)
