GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3103.5,3236.6,3355.7,3577.6,3856.3,4418.6,4693.2,4723.1,4932.1,4988.3,5025.5,5236.8,5315.9,5504.5,5768.3,5971.4,6165.4
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2480.8,2593.3,2681.9,2852.9,3083.5,3606.5,3822.7,3803.1,3984.0,4022.3,4058.8,4261.5,4329.8,4499.8,4726.0,4922.7,5109.1
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),35.7,(D),51.1,60.3,(D),(D),(D),(D),(D),29.5,60.4,49.5,51.7,37.2,35.7
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",17.4,20.4,18.5,36.0,29.5,30.9,25.3,20.7,20.4,19.3,9.5,9.4,41.0,29.1,27.6,17.3,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),17.2,(D),21.6,29.4,(D),(D),(D),(D),(D),20.1,19.4,20.4,24.0,19.9,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),7.5,(D),6.2,16.4,(D),(D),(D),(D),(D),50.9,45.7,58.9,39.3,34.4,51.6
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.5,2.6,2.4,3.0,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),2.2,(D),(D),(D),(D),(D),(D),(D),(D),19.1,(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),49.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",141.6,138.7,149.6,170.4,190.0,264.7,285.8,253.9,237.5,227.2,215.3,211.6,202.6,214.7,241.9,269.0,268.2
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",334.6,338.2,397.5,386.1,354.2,428.1,460.8,411.5,430.6,472.0,463.6,540.0,544.7,511.4,529.0,506.5,528.7
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),194.5
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",32.2,29.3,36.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),36.7,39.3,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),20.3,(D),23.2,19.7,17.9,16.1,17.7,16.1,16.6,20.3,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),10.3,(D),(D),(D),(D),11.0,11.2,12.6,9.9,10.8,9.3,8.1,5.8,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),72.0,56.0,69.2,74.5,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.0,(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.2,21.5,27.2,(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(L),0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.1,0.1,(L),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.7,(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),6.5,(D),(D),(D),8.5,7.6,12.7,9.0,10.9,7.8,(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),334.2
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",23.7,(D),29.7,27.3,24.0,(D),(D),41.7,(D),(D),(D),(D),(D),(D),94.2,94.3,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),92.5,92.3,103.6,99.9,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),5.9,5.5,6.2,6.4,7.3,9.0,7.7,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),82.7,68.7,58.5,57.8,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),35.6,42.3,44.2,40.0,38.6,36.4,45.1,34.4,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",323.6,339.7,367.7,387.9,475.0,575.8,593.3,563.0,593.1,573.3,564.4,574.7,603.2,653.9,659.4,678.0,678.4
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),111.9,115.8,114.8,122.6,135.6,140.6,141.2,145.2,148.1,151.0,148.1,154.6,162.0,165.4
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.6,(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",12.4,11.2,12.8,13.9,15.7,16.2,16.3,16.6,18.4,19.6,22.5,19.0,22.9,25.8,24.8,23.5,(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",1.0,0.0,0.5,0.2,0.0,0.2,0.8,1.5,1.4,1.1,(D),(D),(D),(D),(D),(D),(NA)
 "25620" ,"Hattiesburg, MS (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),41.0,45.8,(D),(D),39.0,40.3,46.6,(NA)
