GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2920.8,3098.3,3304.4,3407.8,3591.0,3779.9,4025.5,4214.8,4255.8,4344.7,4331.3,4570.2,4596.7,4685.1,5044.4,5364.4,5614.6
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2479.1,2626.4,2784.0,2873.5,3033.5,3194.1,3405.6,3568.2,3583.4,3661.5,3617.9,3829.2,3862.2,3922.7,4276.3,4536.2,4766.2
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",25.7,(D),28.3,28.5,28.6,35.4,37.1,39.5,34.2,41.0,53.2,45.5,47.3,51.2,57.7,61.6,60.2
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",1.0,8.8,0.3,1.4,0.7,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",24.8,(D),28.0,27.1,27.9,35.4,37.1,39.5,34.2,41.0,44.5,45.5,47.3,51.2,57.7,61.6,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1.8,(D),2.4,2.0,3.7,5.6,6.6,7.1,6.6,9.2,15.3,17.2,17.3,(D),3.6,1.8,3.5
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,1.1,0.0,0.6,0.5,0.5,1.5,1.0,(D),(D),(D),6.7,4.6,1.3,0.1,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),0.0,(D),(D),(D),(D),1.6,(D),(D),(D),(D),(D),5.4,(D),(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),4.5,(D),(D),4.6,5.6,5.9,5.3,2.5,(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",35.5,35.8,38.6,39.0,40.4,45.6,48.1,49.5,52.2,53.0,55.6,48.7,48.3,49.4,50.8,53.4,57.0
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",167.7,167.2,192.8,210.8,213.1,221.9,244.7,254.8,240.0,216.8,217.7,213.5,217.1,233.3,251.1,261.8,298.0
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",170.0,166.4,181.3,206.2,206.4,220.8,214.0,185.4,195.3,163.6,136.0,132.3,159.0,174.5,183.7,191.2,195.8
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",80.4,80.1,89.7,98.1,100.5,88.6,82.3,74.1,69.6,64.7,74.5,67.5,79.3,85.7,89.0,99.6,110.8
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",48.6,46.6,51.5,64.6,63.2,45.4,37.6,29.7,21.8,21.8,24.8,20.7,30.4,33.0,35.9,42.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",2.6,2.4,4.7,4.8,4.2,3.8,4.8,(D),4.8,3.6,3.1,3.1,3.5,4.3,5.1,6.6,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),0.1,0.1,(L),(D),(L),(D),(D),(D),(D),(L),0.0,0.0,0.0,0.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",4.8,4.1,3.0,2.9,2.9,4.3,5.8,5.4,5.6,4.6,6.6,7.9,9.9,8.4,8.3,10.9,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",4.0,2.2,4.0,3.7,3.2,3.2,2.7,2.0,2.0,2.5,2.7,2.6,1.7,2.2,3.4,3.1,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",0.2,(D),(D),(D),(D),(D),(D),0.8,1.1,1.4,2.4,3.1,3.5,4.3,3.9,3.6,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.0,0.0,(D),(D),(D),(D),(D),(D),(D),0.0,0.2,0.1,(D),(D),(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",5.3,5.6,4.9,4.7,5.1,5.2,4.8,6.7,7.1,5.9,7.4,4.1,2.4,2.8,2.5,2.3,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",14.4,18.3,20.5,16.3,20.6,25.3,25.4,22.6,25.6,23.5,22.8,24.8,25.2,25.8,22.0,21.4,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",89.6,86.3,91.6,108.1,106.0,132.2,131.7,111.4,125.6,99.0,61.5,64.7,79.6,88.8,94.7,91.6,85.0
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",18.7,19.6,20.5,27.3,26.8,30.4,22.9,21.7,24.9,25.4,24.2,27.6,40.1,42.7,47.4,43.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.2,0.1,0.2,(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),0.1,(D),(D),(D),(D),(D),(D),(L),0.1,(D),(D),(D),(D),0.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),0.1,0.1,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",3.9,3.9,4.0,4.0,3.7,4.0,4.2,4.4,3.7,3.1,2.9,2.9,3.1,3.6,3.7,4.2,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",1.0,0.4,0.6,0.4,0.3,0.8,2.5,(D),(D),0.0,0.0,1.2,3.5,6.3,3.2,1.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",1.6,4.4,4.3,4.3,4.0,4.8,12.5,16.3,22.6,22.3,24.4,24.7,27.1,32.3,35.5,38.0,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",0.7,1.0,1.7,1.1,(D),(D),4.5,(D),(D),(D),(D),7.8,(D),(D),(D),(D),(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",167.4,172.4,182.9,202.1,220.2,245.6,256.0,255.2,237.0,237.8,231.6,246.5,252.5,272.4,291.0,306.1,312.0
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",211.8,226.5,261.7,293.1,279.1,280.1,292.2,301.9,277.0,255.1,272.8,300.1,349.2,362.2,388.2,407.8,425.7
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",183.8,183.5,185.4,195.9,192.7,203.4,192.1,212.7,202.6,230.5,223.9,260.2,255.3,242.8,244.3,240.8,248.4
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",6.1,7.3,7.4,7.8,11.1,13.7,11.4,12.4,14.0,13.4,14.4,15.5,7.3,(D),(D),6.4,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",56.6,51.4,54.8,63.4,73.6,85.8,89.0,112.9,105.9,121.2,105.1,134.3,140.6,135.9,130.4,123.4,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",(L),(L),(L),(L),(L),(L),0.0,0.1,0.0,(L),(L),(L),0.2,0.1,0.1,0.1,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",96.3,97.5,94.0,86.7,72.7,68.1,57.8,51.5,45.2,53.9,61.2,64.5,66.2,59.5,65.8,67.8,(NA)
 "33540" ,"Missoula, MT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",4.9,5.4,5.9,8.5,7.4,6.9,6.8,7.3,7.0,8.0,8.3,8.6,8.6,8.7,8.9,8.5,(NA)
