GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",21745.7,23443.3,25111.4,26112.2,28093.7,33078.0,35457.6,37582.7,39175.1,40192.5,37677.3,37875.3,41803.1,43310.3,43666.6,42777.5,43474.4
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",18691.2,20171.0,21617.2,22383.3,24241.0,28881.6,30936.6,32863.1,34140.5,34953.2,32302.0,32432.3,36139.2,37435.2,37564.8,36390.7,36883.2
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),228.9,263.8,237.1,199.3,194.4
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",110.5,51.8,69.6,103.7,81.6,96.4,93.0,75.4,74.6,84.5,46.5,77.1,92.4,139.5,118.7,102.4,(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),136.6,124.4,118.4,96.9,(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.2,12.3,10.5,9.9,15.1
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.6,(L),0.0,0.0,0.0,(L),(L),(L),0.1,0.1,0.1,0.3,0.7,0.4,0.3,0.3,(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.4,0.5,0.5,0.2,0.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),267.0,(D),(D),(D),(D),(D),(D),390.9,405.5,(D),(D),(D)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",623.4,583.0,609.0,656.3,721.1,795.9,852.4,796.2,705.2,605.5,602.2,605.0,624.5,648.4,688.6,783.1,825.0
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",7584.9,8041.8,8837.0,8114.3,8867.6,12970.8,14310.5,15062.9,15746.3,15555.0,13263.8,11878.6,14879.9,14961.7,14240.7,12270.2,12130.5
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",2935.7,2276.5,2778.6,2957.1,3826.8,7225.7,7545.0,7549.9,7351.6,7708.6,3817.7,4588.1,5610.9,5716.4,5121.0,5061.1,5114.8
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",73.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),98.7,(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),54.0,42.4,36.9,(D),(D),40.0,30.7,33.6,(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),72.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),96.4,(D),(D),(NA)
 "20500" ,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),119.7,115.9,93.0,104.1,(NA)
