GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3087.1,3157.3,3382.2,3652.7,4016.5,4177.3,4279.8,4257.5,4361.0,4572.3,4567.9,4667.6,4722.6,4773.2,4884.5,4950.6,4987.8
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1783.2,1864.4,1970.0,2128.7,2405.8,2532.3,2518.8,2405.0,2387.5,2514.5,2494.4,2607.3,2724.7,2743.2,2805.0,2868.2,2867.2
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",121.9,(D),(D),(D),128.0,109.3,80.8,(D),(D),(D),(D),(D),(D),(D),62.4,74.8,76.4
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",91.5,38.5,42.7,84.8,101.1,83.5,57.5,66.7,66.1,83.1,95.6,105.8,112.5,79.1,31.1,44.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",30.3,(D),(D),(D),26.9,25.9,23.3,(D),(D),(D),(D),(D),(D),(D),31.3,30.7,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0.8,(D),(D),(D),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),10.5,(D),9.3
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),0.1,0.1,0.2,0.2,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.7,(D),(D),(D),0.0,(L),(L),(D),(D),(D),8.7,7.7,(D),(D),10.2,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),0.1,0.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),58.4,60.0,66.5
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",138.2,119.7,155.3,157.9,171.6,180.2,200.7,165.2,152.8,125.9,119.1,109.2,97.5,102.0,112.3,128.8,129.3
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",400.1,381.0,385.2,420.7,475.3,508.9,559.1,465.6,434.7,448.0,445.6,472.1,510.5,537.3,607.1,611.5,617.7
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),212.6,(D),(D),(D),(D),(D),333.1,285.3,308.0,287.7,300.0,(D),(D),(D),(D),(D)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",6.9,7.4,7.9,8.5,8.2,8.1,9.0,8.2,6.9,6.8,4.4,5.2,6.1,7.0,6.5,5.6,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),2.9,3.6,3.8,4.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",0.1,0.1,(L),(L),0.0,0.0,(L),(L),0.0,0.0,0.0,0.0,(L),(L),0.1,0.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),17.3,19.4,21.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.5,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(L),(L),0.1,(L),(L),(D),(D),(D),(D),(D),(D),(D),0.2,0.1,(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.2,12.1,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),168.3,(D),(D),(D),(D),(D),132.6,149.5,140.0,157.8,172.1,(D),(D),(D),(D),(D)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2.0,2.3,(D),2.4,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",2.3,2.0,1.2,2.3,2.1,2.2,2.4,3.3,3.5,3.9,(D),(D),(D),8.0,6.7,7.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",0.1,(D),(L),0.1,(L),(L),0.1,0.4,0.1,0.1,0.1,0.1,(L),0.1,0.1,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",13.5,13.5,13.2,9.8,(D),(D),10.8,14.4,14.2,(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.2,(D),(D),12.5,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",82.4,89.6,86.6,89.9,86.2,96.7,105.3,106.8,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",169.5,173.9,183.2,182.8,212.7,222.2,217.8,202.6,202.8,232.8,258.4,260.6,259.5,262.3,272.6,292.0,305.3
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),69.5,70.4,79.4,84.2,80.0,80.4,(D),(D),(D)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",0.9,0.8,0.8,0.8,0.8,0.9,0.8,1.0,1.0,1.3,1.1,1.0,1.2,0.9,1.2,1.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.1,0.0,(L),0.1,0.4,0.5,0.5,(L),0.1,(L),0.0,(D),(D),(D),(D),(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",21.3,21.0,(D),(D),(D),(D),(D),(D),(D),24.7,24.7,24.9,22.2,(D),22.2,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),1.9,1.8,2.0,2.0,2.3,2.3,2.5,2.9,2.9,2.7,(D),(D),1.5,2.3,(D),(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",(D),(D),(D),(L),(L),(L),(L),(L),0.0,(L),(L),(L),(L),0.1,0.1,0.1,(NA)
 "35100" ,"New Bern, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31.7,30.3,(D),(NA)
