GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",14946.4,16064.6,17523.1,18115.6,19664.4,20326.8,20834.4,21236.5,21054.7,21133.0,22405.4,22677.9,23504.1,24315.6,26135.2,27580.6,28442.8
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",13440.6,14477.5,15764.5,16288.1,17714.1,18298.7,18664.7,18968.0,18803.7,18752.0,20084.3,20361.7,21177.5,21916.3,23729.1,25140.8,25965.5
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",29.2,29.5,26.0,21.7,21.3,27.6,22.9,17.2,15.8,15.2,11.8,13.1,14.5,13.6,12.1,11.3,11.6
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",9.7,10.2,10.5,10.7,6.4,6.5,1.6,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.1,(NA)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",19.5,19.3,15.5,11.0,14.9,21.1,21.3,17.2,15.8,15.2,11.8,13.1,11.6,13.6,12.1,11.2,(NA)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",4.8,5.9,5.9,6.2,6.9,9.7,12.1,11.2,7.5,6.6,5.3,9.0,6.3,6.9,(D),6.2,(D)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,(NA)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",4.8,5.9,5.9,6.2,6.9,9.7,12.1,11.2,7.5,6.6,5.0,9.0,6.3,6.5,(D),6.0,(NA)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.6,0.2,(NA)
 "31700" ,"Manchester-Nashua, NH (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",161.7,127.8,(D),(D),131.2,122.2,126.0,142.8,137.7,157.1,175.2,140.8,138.6,(D),(D),(D),(D)
